Accumulated Time [min],Battery [%],Work Count [times]
0.000854411,99.9629,0
0.00252427,99.96,0
0.00418269,99.9573,0
0.00584981,99.9544,0
0.00751938,99.9515,0
0.0091834,99.9487,0
0.0108506,99.9459,0
0.0125168,99.9431,0
0.0141853,99.9402,0
0.0158506,99.9373,0
0.0175202,99.9344,0
0.0191884,99.9315,0
0.0208558,99.9288,0
0.0225202,99.9259,0
0.0241861,99.9231,0
0.0258511,99.9202,0
0.0275168,99.9173,0
0.0291838,99.9144,0
0.0308547,99.9116,0
0.0325172,99.9087,0
0.034183,99.9058,0
0.0358529,99.9029,0
0.0375186,99.9002,0
0.0391856,99.8973,0
1.0403,98.2058,0
1.0403,98.203,0
1.0403,98.2001,0
1.0403,98.1972,0
1.0403,98.1943,0
1.04031,98.1915,0
1.04031,98.1886,0
1.04031,98.1857,0
1.04031,98.1828,0
1.04031,98.18,0
1.04085,98.1772,0
1.04252,98.1744,0
1.04419,98.1715,0
1.04585,98.1686,0
1.04752,98.1657,0
1.04918,98.1628,0
1.05085,98.16,0
1.05252,98.1571,0
1.05418,98.1542,0
1.05585,98.1514,0
1.05752,98.1485,0
1.05918,98.1456,0
1.06085,98.1427,0
1.06252,98.1398,0
1.06418,98.137,0
1.06585,98.1341,0
1.06752,98.1312,0
1.06918,98.1283,0
1.07085,98.1255,0
1.07252,98.1226,0
1.07418,98.1197,0
1.07585,98.117,0
1.07752,98.1143,0
1.07919,98.1114,0
1.08085,98.1085,0
1.08253,98.1056,0
1.08419,98.1028,0
1.08585,98.0999,0
1.08752,98.097,0
1.08919,98.0941,0
1.09085,98.0912,0
1.09252,98.0884,0
1.09418,98.0855,0
1.09585,98.0826,0
1.09752,98.0799,0
1.09919,98.077,0
1.10085,98.0741,0
1.10252,98.0713,0
1.10418,98.0684,0
1.10585,98.0655,0
1.10752,98.0628,0
1.10918,98.0599,0
1.11086,98.057,0
1.11252,98.0541,0
1.11419,98.0513,0
1.11585,98.0484,0
1.11752,98.0455,0
1.11918,98.0426,0
1.12085,98.0398,0
1.12252,98.0369,0
1.12418,98.034,0
1.12586,98.0311,0
1.12752,98.0283,0
1.12919,98.0254,0
1.13085,98.0225,0
1.13252,98.0196,0
1.13419,98.0168,0
1.13585,98.0139,0
1.13752,98.011,0
1.13918,98.0081,0
1.14085,98.0052,0
1.14252,98.0024,0
1.14418,97.9995,0
1.14585,97.9966,0
1.14752,97.9938,0
1.14919,97.9909,0
1.15085,97.988,0
1.15252,97.9851,0
1.15419,97.9822,0
1.15585,97.9795,0
1.15752,97.9766,0
1.15918,97.9739,0
1.16085,97.971,0
1.16252,97.9682,0
1.16418,97.9653,0
1.16585,97.9624,0
1.16752,97.9595,0
1.16918,97.9566,0
1.17085,97.9539,0
1.17252,97.951,0
1.17419,97.9482,0
1.17585,97.9453,0
1.17752,97.9424,0
1.17919,97.9395,0
1.18085,97.9368,0
1.18252,97.9339,0
1.18418,97.9311,0
1.18585,97.9282,0
1.18752,97.9253,0
1.18918,97.9224,0
1.19085,97.9195,0
1.19252,97.9168,0
1.19419,97.9139,0
1.19585,97.9111,0
1.19752,97.9082,0
1.19919,97.9053,0
1.20085,97.9024,0
1.20252,97.8996,0
1.20418,97.8967,0
1.20585,97.8938,0
1.20752,97.8909,0
1.20918,97.8881,0
1.21085,97.8852,0
1.21252,97.8823,0
1.21419,97.8794,0
1.21586,97.8767,0
1.21752,97.8738,0
1.21918,97.8709,0
1.22085,97.8681,0
1.22252,97.8652,0
1.22418,97.8623,0
1.22586,97.8594,0
1.22752,97.8566,0
1.22919,97.8538,0
1.23085,97.851,0
1.23252,97.8482,0
1.23418,97.8454,0
1.23585,97.8425,0
1.23752,97.8397,0
1.23918,97.8369,0
1.24085,97.834,0
1.24252,97.8311,0
1.24418,97.8282,0
1.24585,97.8254,0
1.24752,97.8225,0
1.24918,97.8196,0
1.25085,97.8167,0
1.25252,97.8139,0
1.25418,97.811,0
1.25585,97.8081,0
1.25752,97.8052,0
1.25918,97.8024,0
1.26085,97.7995,0
1.26252,97.7966,0
1.26418,97.7939,0
1.26585,97.791,0
1.26752,97.7881,0
1.26918,97.7852,0
1.27085,97.7824,0
1.27252,97.7795,0
1.27419,97.7766,0
1.27585,97.7737,0
1.27752,97.7709,0
1.27918,97.768,0
1.28085,97.7651,0
1.28252,97.7622,0
1.28418,97.7595,0
1.28585,97.7566,0
1.28752,97.7538,0
1.28918,97.7509,0
1.29085,97.748,0
1.29252,97.7451,0
1.29419,97.7423,0
1.29585,97.7394,0
1.29752,97.7365,0
1.29918,97.7338,0
1.30085,97.7309,0
1.30252,97.728,0
1.30418,97.7251,0
1.30585,97.7223,0
1.30752,97.7194,0
1.30918,97.7165,0
1.31085,97.7136,0
1.31252,97.7108,0
1.31419,97.7079,0
1.31585,97.705,0
1.31752,97.7021,0
1.31918,97.6993,0
1.32085,97.6964,0
1.32252,97.6935,0
1.32418,97.6908,0
1.32585,97.6879,0
1.32752,97.685,0
1.32918,97.6823,0
1.33085,97.6794,0
1.33252,97.6765,0
1.33418,97.6737,0
1.33585,97.6708,0
1.33752,97.6679,0
1.33918,97.665,0
1.34085,97.6621,0
1.34252,97.6593,0
1.34418,97.6565,0
1.34585,97.6537,0
1.34752,97.6508,0
1.34918,97.6479,0
1.35085,97.645,0
1.35252,97.6422,0
1.35418,97.6393,0
1.35585,97.6364,0
1.35752,97.6335,0
1.35918,97.6307,0
1.36085,97.6278,0
1.36252,97.6249,0
1.36419,97.6222,0
1.36585,97.6193,0
1.36752,97.6164,0
1.36919,97.6135,0
1.37085,97.6107,0
1.37252,97.6078,0
1.37418,97.6049,0
1.37586,97.602,0
1.37752,97.5992,0
1.37919,97.5963,0
1.38086,97.5934,0
1.38252,97.5905,0
1.38418,97.5877,0
1.38585,97.5848,0
1.38752,97.5819,0
1.38919,97.579,0
1.39085,97.5762,0
1.39252,97.5734,0
1.39418,97.5706,0
1.39585,97.5678,0
1.39752,97.5649,0
1.39918,97.5621,0
1.40085,97.5592,0
1.40252,97.5563,0
1.40419,97.5534,0
1.40586,97.5506,0
2.40748,95.8577,1
2.40749,95.8548,1
2.40749,95.8519,1
2.40749,95.849,1
2.40749,95.8461,1
2.40749,95.8433,1
2.40749,95.8405,1
2.40749,95.8377,1
2.40749,95.8348,1
2.40749,95.8319,1
2.40752,95.829,1
2.40918,95.8262,1
2.41085,95.8233,1
2.41252,95.8204,1
2.41418,95.8175,1
2.41585,95.8148,1
2.41752,95.8119,1
2.41918,95.809,1
2.42085,95.8062,1
2.42252,95.8033,1
2.42419,95.8006,1
2.42586,95.7977,1
2.42752,95.7948,1
2.42919,95.7919,1
2.43085,95.7891,1
2.43252,95.7862,1
2.43418,95.7833,1
2.43586,95.7804,1
2.43752,95.7775,1
2.43919,95.7747,1
2.44085,95.7718,1
2.44252,95.7689,1
2.44418,95.766,1
2.44585,95.7632,1
2.44752,95.7603,1
2.44919,95.7576,1
2.45085,95.7547,1
2.45252,95.7518,1
2.45418,95.7489,1
2.45585,95.7461,1
2.45752,95.7432,1
2.45918,95.7403,1
2.46085,95.7374,1
2.46252,95.7346,1
2.46418,95.732,1
2.46586,95.7291,1
2.46752,95.7262,1
2.46919,95.7233,1
2.47085,95.7205,1
2.47252,95.7176,1
2.47419,95.7149,1
2.47585,95.712,1
2.47752,95.7091,1
2.47918,95.7062,1
2.48085,95.7035,1
2.48252,95.7006,1
2.48419,95.6977,1
2.48585,95.6949,1
2.48752,95.692,1
2.48918,95.6891,1
2.49085,95.6862,1
2.49252,95.6834,1
2.49418,95.6805,1
2.49585,95.6776,1
2.49752,95.6747,1
2.49918,95.6719,1
2.50085,95.669,1
2.50252,95.6661,1
2.50418,95.6632,1
2.50585,95.6604,1
2.50752,95.6575,1
2.50918,95.6546,1
2.51085,95.6517,1
2.51252,95.6489,1
2.51418,95.6461,1
2.51585,95.6434,1
2.51752,95.6407,1
2.51919,95.6379,1
2.52085,95.6351,1
2.52252,95.6323,1
2.52419,95.6294,1
2.52585,95.6266,1
2.52752,95.6237,1
2.52918,95.6208,1
2.53085,95.6179,1
2.53252,95.6151,1
2.53418,95.6122,1
2.53585,95.6093,1
2.53752,95.6064,1
2.53918,95.6036,1
2.54085,95.6007,1
2.54252,95.5978,1
2.54419,95.5949,1
2.54585,95.5921,1
2.54752,95.5892,1
2.54918,95.5863,1
2.55085,95.5834,1
2.55252,95.5806,1
2.55418,95.5777,1
2.55585,95.5748,1
2.55752,95.5719,1
2.55918,95.569,1
2.56085,95.5662,1
2.56252,95.5633,1
2.56418,95.5604,1
2.56585,95.5575,1
2.56752,95.5547,1
2.56918,95.5518,1
2.57085,95.5489,1
2.57252,95.546,1
2.57418,95.5432,1
2.57585,95.5403,1
2.57752,95.5374,1
2.57918,95.5345,1
2.58085,95.5317,1
2.58252,95.5288,1
2.58419,95.5259,1
2.58585,95.523,1
2.58752,95.5202,1
2.58918,95.5173,1
2.59085,95.5144,1
2.59252,95.5115,1
2.59418,95.5087,1
2.59585,95.5058,1
2.59752,95.5029,1
2.59918,95.5,1
2.60085,95.4971,1
2.60252,95.4943,1
2.60418,95.4914,1
2.60585,95.4885,1
2.60752,95.4856,1
2.60918,95.4828,1
2.61085,95.4803,1
2.61252,95.4776,1
2.61418,95.4746,1
2.61585,95.4717,1
2.61752,95.4688,1
2.61918,95.466,1
2.62085,95.4631,1
2.62252,95.4602,1
2.62419,95.4573,1
2.62585,95.4544,1
2.62752,95.4517,1
2.62919,95.4488,1
2.63085,95.446,1
2.63252,95.4431,1
2.63418,95.4402,1
2.63585,95.4373,1
2.63752,95.4345,1
2.63918,95.4316,1
2.64085,95.4287,1
2.64252,95.4258,1
2.64418,95.423,1
2.64585,95.4201,1
2.64752,95.4172,1
2.64919,95.4143,1
2.65085,95.4115,1
2.65252,95.4086,1
2.65418,95.4057,1
2.65585,95.4028,1
2.65752,95.3999,1
2.65918,95.3972,1
2.66085,95.3943,1
2.66252,95.3915,1
2.66419,95.3886,1
2.66585,95.3857,1
2.66752,95.3828,1
2.66918,95.38,1
2.67085,95.3771,1
2.67252,95.3742,1
2.67418,95.3713,1
2.67585,95.3685,1
2.67752,95.3656,1
2.67918,95.3628,1
2.68085,95.36,1
2.68252,95.3571,1
2.68418,95.3542,1
2.68585,95.3513,1
2.68752,95.3485,1
2.68918,95.3456,1
2.69085,95.3427,1
2.69252,95.34,1
2.69418,95.3371,1
2.69585,95.3342,1
2.69752,95.3314,1
2.69918,95.3285,1
2.70085,95.3256,1
2.70252,95.3227,1
2.70418,95.3199,1
2.70585,95.317,1
2.70752,95.3142,1
2.70918,95.3115,1
2.71085,95.3086,1
2.71252,95.3058,1
2.71418,95.3029,1
2.71585,95.3,1
2.71752,95.2971,1
2.71918,95.2943,1
2.72085,95.2914,1
2.72252,95.2885,1
2.72418,95.2856,1
2.72585,95.2827,1
2.72752,95.2799,1
2.72918,95.277,1
2.73085,95.2741,1
2.73252,95.2712,1
2.73418,95.2684,1
2.73585,95.2655,1
2.73752,95.2626,1
2.73918,95.2599,1
2.74085,95.257,1
2.74252,95.2541,1
2.74419,95.2513,1
2.74585,95.2484,1
2.74752,95.2455,1
2.74918,95.2426,1
2.75085,95.2398,1
2.75252,95.2369,1
2.75418,95.234,1
2.75585,95.2311,1
2.75752,95.2282,1
2.75918,95.2254,1
2.76085,95.2225,1
2.76252,95.2196,1
2.76418,95.2167,1
2.76585,95.2139,1
2.76752,95.211,1
2.76918,95.2081,1
2.77085,95.2054,1
3.77167,93.5151,1
3.77168,93.5122,1
3.77168,93.5093,1
3.77168,93.5064,1
3.77168,93.5035,1
3.77168,93.5007,1
3.77168,93.4978,1
3.77168,93.4949,1
3.77168,93.492,1
3.77168,93.4892,1
3.77252,93.4863,1
3.77418,93.4834,1
3.77585,93.4805,1
3.77752,93.4778,1
3.77918,93.4749,1
3.78085,93.4722,1
3.78252,93.4693,1
3.78419,93.4666,1
3.78585,93.4637,1
3.78752,93.4608,1
3.78919,93.4581,1
3.79086,93.4552,1
3.79252,93.4524,1
3.79418,93.4493,1
3.79585,93.4466,1
3.79752,93.4437,1
3.79918,93.4409,1
3.80085,93.438,1
3.80252,93.4351,1
3.80419,93.4322,1
3.80585,93.4295,1
3.80752,93.4266,1
3.80918,93.4237,1
3.81086,93.4209,1
3.81252,93.418,1
3.81418,93.4151,1
3.81585,93.4122,1
3.81752,93.4094,1
3.81918,93.4065,1
3.82085,93.4036,1
3.82252,93.4009,1
3.82419,93.3981,1
3.82586,93.3953,1
3.82752,93.3924,1
3.82918,93.3895,1
3.83085,93.3868,1
3.83252,93.3839,1
3.83419,93.381,1
3.83585,93.3782,1
3.83752,93.3753,1
3.83918,93.3724,1
3.84085,93.3695,1
3.84252,93.3667,1
3.84418,93.3638,1
3.84585,93.3609,1
3.84752,93.358,1
3.84919,93.3551,1
3.85085,93.3523,1
3.85252,93.3494,1
3.85418,93.3465,1
3.85585,93.3436,1
3.85752,93.3408,1
3.85918,93.338,1
3.86085,93.3352,1
3.86252,93.3323,1
3.86419,93.3294,1
3.86585,93.3265,1
3.86752,93.3237,1
3.86918,93.3208,1
3.87085,93.3179,1
3.87252,93.315,1
3.87418,93.3122,1
3.87585,93.3093,1
3.87752,93.3064,1
3.87918,93.3035,1
3.88085,93.3007,1
3.88252,93.2978,1
3.88418,93.2949,1
3.88585,93.292,1
3.88752,93.2891,1
3.88918,93.2863,1
3.89085,93.2837,1
3.89252,93.2808,1
3.89418,93.2779,1
3.89585,93.2751,1
3.89752,93.2722,1
3.89918,93.2693,1
3.90085,93.2664,1
3.90252,93.2635,1
3.90418,93.2607,1
3.90585,93.2578,1
3.90752,93.2549,1
3.90919,93.2521,1
3.91085,93.2492,1
3.91252,93.2463,1
3.91418,93.2434,1
3.91585,93.2407,1
3.91752,93.2378,1
3.91919,93.2352,1
3.92085,93.2323,1
3.92252,93.2295,1
3.92419,93.2266,1
3.92585,93.2237,1
3.92752,93.2208,1
3.92918,93.2181,1
3.93085,93.2154,1
3.93252,93.2125,1
3.93419,93.2096,1
3.93585,93.2068,1
3.93752,93.2039,1
3.93919,93.201,1
3.94085,93.1983,1
3.94252,93.1954,1
3.94419,93.1925,1
3.94586,93.1896,1
3.94752,93.1868,1
3.94918,93.184,1
3.95085,93.1812,1
3.95252,93.1783,1
3.95418,93.1754,1
3.95585,93.1725,1
