第0世代
f1,f2
169.498,14.9923
147.106,53.8999
147.37,40.475
148.223,38.4818
150.982,27.788
156.202,18.5166
159.315,18.7964
147.645,56.1564
151.37,30.0482
149.03,39.9834
148.665,43.1281
152.535,28.5061
157.797,22.6952
158.213,20.2426
165.06,19.1699
149.601,57.4071
152.143,35.3466
151.916,53.6872
152.662,29.5511
160.46,20.5385
159.106,25.4644
162.215,21.8393
153.204,31.1886
172.568,23.757
154.287,47.1555
154.539,38.8854
165.823,31.4748
166.506,27.1949
157.238,36.157
163.708,34.8075
172.158,27.0658
171.433,27.78
155.532,46.996
156.367,46.8324
157.301,40.2309
157.985,36.5834
167.671,28.6034
170.717,38.1475
156.09,47.2612
157.306,46.1993
159.304,39.5587
156.652,46.84
164.993,38.5866
162.729,40.1103
157.159,57.5068
159.342,43.532
175.367,42.0604
159.626,44.513
163.073,44.1438
163.566,42.0842
