第0世代
f1,f2
167.892,17.5,0
147.19,23.0482,0
154.495,20.2821,0
160.873,19.9504,0
164.034,20.632,1
148.73,40.96,1
151.77,25.3139,1
150.987,35.2692,1
149.036,36.1814,1
156.022,22.1856,1
156.57,21.6738,1
164.694,21.4298,2
149.127,48.213,2
154.447,47.8478,2
155.381,31.8456,2
156.925,23.1783,2
156.9,27.4966,2
155.548,28.5157,2
176.211,22.0872,3
152.29,58.9725,3
154.547,50.3932,3
155.539,42.7753,3
152.968,53.8628,3
156.332,31.4645,3
165.79,25.645,3
157.717,28.3203,3
172.432,23.0225,3
173.477,24.1709,4
154.952,59.0897,4
160.274,33.6466,4
157.981,51.8512,4
162.827,31.3403,4
172.921,29.541,4
168.283,30.2413,4
173.913,26.4711,5
161.601,41.8584,5
171.465,33.4152,5
173.511,27.8791,5
164.823,39.9463,5
177.768,39.8263,6
163.212,54.9805,6
167.446,48.5326,6
166.778,53.0693,6
168.428,40.9251,6
174.88,40.2027,6
179.728,39.8702,7
169.269,43.0418,7
172.63,43.024,7
178.367,44.1321,8
177.707,46.6181,8
