Accumulated Time [min],Battery [%],Work Count [times]
0.000709877,99.9628,0
0.00237753,99.9599,0
0.00404344,99.957,0
0.00570923,99.9541,0
0.00737606,99.9513,0
0.00904306,99.9484,0
0.0107105,99.9456,0
0.0123769,99.9428,0
0.0140424,99.9399,0
0.0157098,99.937,0
0.0173766,99.9341,0
0.0190432,99.9313,0
0.0207104,99.9284,0
0.0223755,99.9257,0
0.0240427,99.9228,0
0.0257086,99.9199,0
0.0273758,99.917,0
0.0290431,99.9142,0
0.0307101,99.9113,0
0.0323759,99.9084,0
0.034042,99.9055,0
0.0357173,99.9028,0
0.0373762,99.8999,0
0.0390436,99.897,0
0.0407105,99.8942,0
1.042,98.2001,0
1.042,98.1972,0
1.042,98.1943,0
1.042,98.1915,0
1.042,98.1886,0
1.042,98.1857,0
1.04201,98.1828,0
1.04201,98.18,0
1.04201,98.1771,0
1.04201,98.1742,0
1.04238,98.1713,0
1.04404,98.1686,0
1.04571,98.1657,0
1.04738,98.1628,0
1.04905,98.16,0
1.05071,98.1571,0
1.05238,98.1542,0
1.05404,98.1514,0
1.05571,98.1485,0
1.05738,98.1456,0
1.05904,98.1427,0
1.06071,98.1398,0
1.06238,98.137,0
1.06404,98.1341,0
1.06571,98.1312,0
1.06738,98.1283,0
1.06904,98.1255,0
1.07071,98.1226,0
1.07238,98.1197,0
1.07404,98.1168,0
1.07571,98.114,0
1.07738,98.1111,0
1.07904,98.1082,0
1.08071,98.1053,0
1.08238,98.1026,0
1.08404,98.0997,0
1.08571,98.0968,0
1.08738,98.094,0
1.08904,98.0911,0
1.09071,98.0884,0
1.09238,98.0855,0
1.09404,98.0826,0
1.09571,98.0797,0
1.09738,98.0769,0
1.09904,98.074,0
1.10071,98.0711,0
1.10238,98.0682,0
1.10405,98.0654,0
1.10571,98.0625,0
1.10738,98.0596,0
1.10904,98.0569,0
1.11071,98.054,0
1.11238,98.0511,0
1.11405,98.0482,0
1.11571,98.0454,0
1.11738,98.0425,0
1.11904,98.0396,0
1.12072,98.0367,0
1.12238,98.0339,0
1.12404,98.031,0
1.12571,98.0281,0
1.12738,98.0252,0
1.12904,98.0224,0
1.13071,98.0195,0
1.13238,98.0166,0
1.13404,98.0137,0
1.13571,98.0109,0
1.13738,98.008,0
1.13904,98.0051,0
1.14071,98.0022,0
1.14238,97.9994,0
1.14404,97.9965,0
1.14571,97.9936,0
1.14738,97.9907,0
1.14904,97.9878,0
1.15071,97.985,0
1.15238,97.9821,0
1.15404,97.9792,0
1.15571,97.9763,0
1.15738,97.9735,0
1.15904,97.9706,0
1.16071,97.9677,0
1.16238,97.9648,0
1.16404,97.9621,0
1.16571,97.9592,0
1.16738,97.9564,0
1.16904,97.9535,0
1.17071,97.9506,0
1.17238,97.9477,0
1.17404,97.945,0
1.17571,97.9421,0
1.17738,97.9392,0
1.17904,97.9364,0
1.18071,97.9335,0
1.18238,97.9308,0
1.18404,97.9279,0
1.18571,97.925,0
1.18738,97.9221,0
1.18904,97.9193,0
1.19071,97.9164,0
1.19238,97.9135,0
1.19404,97.9106,0
1.19571,97.9078,0
1.19738,97.9049,0
1.19904,97.902,0
1.20071,97.8991,0
1.20238,97.8963,0
1.20404,97.8934,0
1.20571,97.8905,0
1.20738,97.8876,0
1.20904,97.8848,0
1.21071,97.8819,0
