elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
3.33333E-10,19.9662,0,2.10833,1.04175,19.7551,20.085,9.37,19.28,0.213428,0.439157
0.0233338,19.9605,0,2.17551,1.06446,19.7537,20.0863,9.08,18.87,0.206822,0.429818
0.0408336,19.9542,0,2.31384,1.09434,19.7602,20.0921,8.54,18.36,0.194522,0.418202
0.0581665,19.9484,0,2.46146,1.12784,19.7655,20.0981,8.03,17.82,0.182906,0.405902
0.0754994,19.9427,0,2.63979,1.14256,19.7721,20.0976,7.49,17.59,0.170606,0.400663
0.0928346,19.9364,0,2.83753,1.15155,19.7776,20.0945,6.97,17.45,0.158761,0.397474
0.110167,19.9306,0,3.05769,1.14453,19.7832,20.0865,6.47,17.55,0.147372,0.399752
0.127501,19.9249,0,3.34291,1.12975,19.79,20.0757,5.92,17.77,0.134844,0.404763
0.144833,19.9185,0,3.66584,1.11341,19.7955,20.0637,5.4,18.02,0.123,0.410457
0.162167,19.9128,0,4.04106,1.09327,19.8012,20.0506,4.9,18.34,0.111611,0.417746
0.1795,19.9059,0,4.47078,1.06505,19.8056,20.0336,4.43,18.81,0.100906,0.428452
0.198332,19.9001,0,5.1327,1.03273,19.8122,20.0143,3.86,19.38,0.0879222,0.441435
0.215668,19.8944,0,5.7943,1.00901,19.8165,19.9985,3.42,19.82,0.0779,0.451458
0.233,19.8881,0,6.8828,0.981332,19.8225,19.9799,2.88,20.36,0.0656,0.463758
0.250333,19.8823,0,8.29619,0.957458,19.8279,19.963,2.39,20.85,0.0544389,0.474919
0.267667,19.876,0,10.4939,0.934233,19.8335,19.9459,1.89,21.35,0.04305,0.486308
0.284999,19.8703,0,14.6959,0.910336,19.8395,19.9272,1.35,21.89,0.03075,0.498608
0.302333,19.8645,0,23.3472,0.889242,19.8451,19.9101,0.85,22.39,0.0193611,0.509996
0.319666,19.8582,1,66.1712,0.8671,19.8514,19.8913,0.3,22.94,0.00683333,0.522524
0.337165,19.8524,1,99.2394,0.862988,19.8479,19.8832,0.2,23.04,0.00455556,0.524802
0.352177,19.8473,1,2.12287,1.04043,19.6366,19.9658,9.25,19.19,0.210695,0.437107
0.369678,19.8409,1,2.1409,1.03954,19.6321,19.9592,9.17,19.2,0.208872,0.437335
0.387179,19.8352,1,2.25975,1.05954,19.6373,19.9617,8.69,18.84,0.197939,0.429135
0.404512,19.8289,1,2.39538,1.08809,19.6421,19.9665,8.2,18.35,0.186778,0.417974
0.421845,19.8232,1,2.55836,1.09632,19.6482,19.964,7.68,18.21,0.174934,0.414785
0.439179,19.8168,1,2.75277,1.1078,19.6548,19.9626,7.14,18.02,0.162634,0.410457
0.456512,19.8111,1,2.9474,1.11757,19.6592,19.9599,6.67,17.86,0.151928,0.406813
0.473845,19.8053,1,3.21339,1.12174,19.6659,19.9557,6.12,17.79,0.1394,0.405218
0.491179,19.799,1,3.51276,1.11182,19.6715,19.946,5.6,17.94,0.127556,0.408635
0.508513,19.7933,1,3.84309,1.09837,19.6766,19.9355,5.12,18.15,0.116622,0.413418
0.525845,19.787,1,4.21438,1.06859,19.6812,19.9185,4.67,18.64,0.106372,0.42458
0.544845,19.7806,1,4.82542,1.03695,19.6877,19.8991,4.08,19.19,0.0929333,0.437107
0.562178,19.7749,1,5.48555,1.01028,19.6931,19.8822,3.59,19.68,0.0817722,0.448269
0.579512,19.7686,1,6.35418,0.984865,19.6979,19.8647,3.1,20.17,0.0706111,0.45943
0.596847,19.7628,1,7.54918,0.960688,19.7034,19.8478,2.61,20.66,0.05945,0.470591
0.614178,19.7571,1,9.56803,0.934915,19.7101,19.8295,2.06,21.21,0.0469222,0.483119
0.631514,19.7507,1,12.4777,0.911707,19.7148,19.8114,1.58,21.73,0.0359889,0.494963
0.648846,19.745,1,19.5267,0.889199,19.722,19.7936,1.01,22.26,0.0230056,0.507035
0.666178,19.7387,2,41.0995,0.866152,19.7277,19.7743,0.48,22.83,0.0109333,0.520018
0.683845,19.7318,2,49.3095,0.857419,19.7238,19.7635,0.4,23.05,0.00911111,0.525029
0.700192,19.7266,2,2.12615,1.03804,19.5181,19.8473,9.18,19.12,0.2091,0.435513
0.719527,19.7203,2,2.13244,1.03602,19.5119,19.8397,9.15,19.15,0.208417,0.436196
0.737027,19.7145,2,2.25636,1.05887,19.5175,19.8433,8.65,18.74,0.197028,0.426857
0.754527,19.7082,2,2.37773,1.08635,19.5212,19.8477,8.21,18.27,0.187006,0.416152
0.77186,19.7025,2,2.55271,1.1033,19.5282,19.8483,7.65,17.99,0.17425,0.409774
0.789193,19.6961,2,2.70908,1.11756,19.5325,19.8478,7.21,17.76,0.164228,0.404535
0.806526,19.6904,2,2.94265,1.12496,19.5392,19.8442,6.64,17.64,0.151245,0.401802
0.82386,19.6847,2,3.20422,1.11816,19.5457,19.8362,6.1,17.74,0.138945,0.404079
0.841193,19.6784,2,3.47871,1.10824,19.5503,19.8265,5.62,17.89,0.128011,0.407496
0.858526,19.6726,2,3.78237,1.09666,19.5548,19.8166,5.17,18.07,0.117761,0.411596
0.87586,19.6669,2,4.20665,1.06504,19.5609,19.799,4.65,18.59,0.105917,0.423441
0.893193,19.6605,2,4.66947,1.03844,19.5651,19.7822,4.19,19.05,0.0954389,0.433919
0.910527,19.6548,2,5.28933,1.01153,19.5705,19.7653,3.7,19.54,0.0842778,0.44508
0.92786,19.6485,2,6.09824,0.985913,19.5754,19.7478,3.21,20.03,0.0731167,0.456241
0.945193,19.6427,2,7.38957,0.958199,19.5824,19.7293,2.65,20.59,0.0603611,0.468996
0.962526,19.637,2,8.98501,0.936034,19.5873,19.7129,2.18,21.06,0.0496555,0.479702
0.979859,19.6307,2,12.0949,0.910906,19.5938,19.6938,1.62,21.62,0.0369,0.492458
0.997194,19.6249,2,17.4995,0.889542,19.5994,19.6767,1.12,22.12,0.0255111,0.503846
1.01469,19.6186,2,31.6201,0.869096,19.6045,19.6589,0.62,22.62,0.0141222,0.515235
1.03219,19.6128,3,89.1265,0.853349,19.6078,19.6441,0.22,23.02,0.00501111,0.524346
1.04953,19.6065,3,130.687,0.850419,19.6031,19.6362,0.15,23.09,0.00341667,0.52594
1.0567,19.6042,3,2.0966,1.02776,19.3935,19.7227,9.25,19.19,0.210695,0.437107
1.0742,19.5979,3,2.10287,1.02582,19.3885,19.7163,9.22,19.22,0.210011,0.437791
1.0917,19.5921,3,2.21889,1.0455,19.3931,19.7182,8.74,18.86,0.199078,0.429591
1.1092,19.5858,3,2.35133,1.07368,19.3985,19.7236,8.25,18.37,0.187917,0.418429
1.12654,19.5801,3,2.51679,1.08724,19.4045,19.7225,7.71,18.14,0.175617,0.413191
1.14387,19.5743,3,2.70725,1.09867,19.411,19.7211,7.17,17.95,0.163317,0.408863
1.1612,19.568,3,2.90656,1.11159,19.4159,19.7195,6.68,17.74,0.152156,0.404079
1.17854,19.5623,3,3.15808,1.11254,19.4222,19.7142,6.15,17.72,0.140083,0.403624
1.19587,19.5565,3,3.42634,1.10269,19.4274,19.7051,5.67,17.87,0.12915,0.407041
1.2132,19.5502,3,3.77338,1.08681,19.4329,19.6931,5.15,18.12,0.117306,0.412735
1.23037,19.5444,3,4.13561,1.05962,19.4374,19.6771,4.7,18.57,0.107056,0.422985
1.2477,19.5381,3,4.68535,1.02818,19.4442,19.6588,4.15,19.12,0.0945278,0.435513
1.26504,19.5324,3,5.31394,1.0016,19.449,19.6413,3.66,19.61,0.0833667,0.446674
1.28237,19.5267,3,6.13705,0.976339,19.4544,19.6244,3.17,20.1,0.0722055,0.457835
1.2997,19.5203,3,7.26093,0.952255,19.4593,19.6069,2.68,20.59,0.0610444,0.468996
1.31704,19.5146,3,9.139,0.926616,19.4661,19.5887,2.13,21.14,0.0485166,0.481524
1.33437,19.5083,3,12.0945,0.903558,19.4722,19.5711,1.61,21.66,0.0366722,0.493369
1.3517,19.5025,3,18.3758,0.880334,19.4784,19.5522,1.06,22.21,0.0241444,0.505896
1.3692,19.4962,4,36.7636,0.857484,19.4847,19.5335,0.53,22.78,0.0120722,0.518879
1.3867,19.4899,4,69.586,0.847654,19.4841,19.5215,0.28,23.03,0.00637778,0.524574
1.40472,19.4836,4,2.09276,1.02697,19.2743,19.6049,9.21,19.09,0.209783,0.43483
1.42438,19.4772,4,2.11529,1.02884,19.2703,19.5995,9.11,19.05,0.207506,0.433918
1.44188,19.4715,4,2.23348,1.04876,19.2749,19.6014,8.63,18.69,0.196572,0.425718
1.45938,19.4652,4,2.35399,1.07609,19.2792,19.6063,8.19,18.22,0.18655,0.415013
1.47672,19.4594,4,2.50442,1.09102,19.284,19.6057,7.7,17.97,0.175389,0.409318
1.49405,19.4537,4,2.69421,1.1026,19.2906,19.6043,7.16,17.78,0.163089,0.404991
1.51138,19.4473,4,2.88415,1.11246,19.295,19.6016,6.69,17.62,0.152384,0.401346
1.52855,19.4416,4,3.13846,1.10573,19.3015,19.5936,6.15,17.72,0.140083,0.403624
1.54588,19.4353,4,3.44791,1.09157,19.3083,19.5828,5.6,17.94,0.127556,0.408635
1.56322,19.4295,4,3.73535,1.08321,19.3118,19.5735,5.17,18.07,0.117761,0.411596
1.58038,19.4238,4,4.15438,1.05196,19.3179,19.5559,4.65,18.59,0.105917,0.423441
1.59772,19.4175,4,4.69034,1.02187,19.3242,19.5381,4.12,19.12,0.0938444,0.435513
1.61505,19.4117,4,5.3248,0.995443,19.329,19.5206,3.63,19.61,0.0826833,0.446674
1.63238,19.406,4,6.11836,0.971325,19.334,19.5042,3.16,20.08,0.0719778,0.45738
1.64972,19.3997,4,7.29785,0.946395,19.3393,19.4863,2.65,20.59,0.0603611,0.468996
1.66705,19.3939,4,8.87351,0.924493,19.3443,19.4698,2.18,21.06,0.0496555,0.479702
1.68438,19.3876,4,11.9452,0.899691,19.3513,19.4513,1.62,21.62,0.0369,0.492458
