elapsed time [min],battery [Wh],task [times]
1e-09,19.9674,0
0.0199997,19.9605,0
0.0396653,19.9547,0
0.0569995,19.949,0
0.074332,19.9427,0
0.0914987,19.9369,0
0.108665,19.9312,0
0.125832,19.9254,0
0.142998,19.9191,0
0.160166,19.9133,0
0.177332,19.9076,0
0.194498,19.9013,0
0.211664,19.8956,0
0.228831,19.8898,0
0.245999,19.8835,0
0.263166,19.8777,0
0.28033,19.872,0
0.297498,19.8662,0
0.314664,19.8599,0
0.331832,19.8542,1
0.348998,19.8484,1
0.353843,19.8456,1
0.374344,19.8387,1
0.394511,19.8318,1
0.413511,19.826,1
0.430845,19.8197,1
0.448012,19.8139,1
0.465178,19.8082,1
0.482344,19.8025,1
0.499511,19.7961,1
0.516678,19.7904,1
0.533844,19.7846,1
0.551011,19.7783,1
0.568177,19.7726,1
0.585344,19.7668,1
0.602511,19.7611,1
0.619679,19.7548,1
0.636844,19.749,1
0.654011,19.7433,1
0.671178,19.737,1
0.688344,19.7312,1
0.705511,19.7255,2
0.719025,19.7197,2
0.739025,19.7128,2
0.759192,19.7059,2
0.779026,19.7002,2
0.796359,19.6939,2
0.813691,19.6881,2
0.830858,19.6818,2
0.848025,19.676,2
0.865192,19.6703,2
0.882359,19.6645,2
0.899528,19.6582,2
0.916693,19.6525,2
0.933859,19.6467,2
0.951026,19.6404,2
0.968193,19.6347,2
0.985359,19.6289,2
1.00253,19.6232,2
1.01969,19.6168,2
1.03686,19.6111,2
1.05403,19.6054,2
1.07119,19.5991,3
1.08836,19.5933,3
1.0937,19.5904,3
1.11404,19.5835,3
1.13421,19.5766,3
1.15354,19.5709,3
1.17087,19.5646,3
1.18804,19.5588,3
1.20521,19.5531,3
1.22237,19.5473,3
1.23954,19.541,3
1.25671,19.5353,3
1.27387,19.5295,3
1.29104,19.5232,3
1.30821,19.5174,3
1.32604,19.5111,3
1.34321,19.5054,3
1.36037,19.4996,3
1.37754,19.4939,3
1.3947,19.4876,3
1.41187,19.4818,3
1.42904,19.4761,3
1.44621,19.4697,4
1.46038,19.464,4
