第0世代
f1,f2,first_soc,front
115.159,0,80,0
time,29.56,47.9142,
soc,48,80,
f1,f2,first_soc,front
107.26,8.67529,95,0
time,35,52.0116,
soc,59,77,
f1,f2,first_soc,front
111.452,1.73468,83,0
time,30.92,39.1603,
soc,34,78,
f1,f2,first_soc,front
110.386,7.38672,88,0
time,15.96,61.2365,
soc,79,55,
f1,f2,first_soc,front
118.704,0,80,1
time,11.88,39.1359,82.2358,89.2965,
soc,72,70,33,47,
f1,f2,first_soc,front
108.83,9.25789,96,1
time,20.04,26.6512,62.917,86.7589,
soc,68,75,48,37,
f1,f2,first_soc,front
115.838,5.20862,89,1
time,24.12,43.5066,56.0881,
soc,55,37,73,
f1,f2,first_soc,front
113.709,7.12031,81,1
time,24.12,70.0035,
soc,86,64,
f1,f2,first_soc,front
132.764,0.578424,81,2
time,32.28,64.5136,107.18,116.886,
soc,61,78,56,60,
f1,f2,first_soc,front
109.429,13.1752,91,2
time,24.12,80.768,93.1699,
soc,85,32,27,
f1,f2,first_soc,front
119.696,1.8703,81,2
time,25.48,60.0052,80.3089,
soc,80,82,75,
f1,f2,first_soc,front
117.851,9.83005,97,2
time,40.44,76.8193,
soc,63,67,
f1,f2,first_soc,front
118.03,6.9491,92,2
time,18.68,40.9243,59.7915,
soc,65,47,78,
f1,f2,first_soc,front
138.86,0.713977,80,3
time,32.28,68.5936,102.36,123.855,
soc,60,55,56,64,
f1,f2,first_soc,front
109.599,34.4246,97,3
time,20.04,35.3922,70.8382,94.2405,
soc,89,96,54,24,
f1,f2,first_soc,front
110.846,23.4949,99,3
time,51.32,84.3934,
soc,45,41,
f1,f2,first_soc,front
128.118,2.89084,85,3
time,33.64,56.2647,79.2273,114.297,
soc,49,64,72,43,
f1,f2,first_soc,front
115.131,13.8073,86,3
time,26.84,43.4361,84.6317,
soc,66,72,38,
f1,f2,first_soc,front
112.527,15.9773,96,3
time,22.76,60.386,
soc,87,79,
f1,f2,first_soc,front
119.27,8.34094,88,3
time,39.08,51.2712,
soc,30,82,
f1,f2,first_soc,front
123.941,3.47624,86,3
time,11.88,46.1306,70.943,94.2597,
soc,73,56,68,64,
f1,f2,first_soc,front
120.765,4.74657,83,3
time,37.72,93.8668,
soc,74,47,
f1,f2,first_soc,front
119.651,7.52559,93,3
time,21.4,53.1334,84.5467,
soc,72,61,61,
f1,f2,first_soc,front
131.668,3.10108,81,4
time,28.2,42.1423,62.1727,90.9387,
soc,48,72,83,79,
f1,f2,first_soc,front
110.112,83.8943,95,4
time,21.4,45.5767,
soc,96,99,
f1,f2,first_soc,front
113.27,22.6992,98,4
time,51.32,62.5575,
soc,25,66,
f1,f2,first_soc,front
111.472,68.4469,99,4
time,33.64,61.2361,
soc,89,92,
f1,f2,first_soc,front
126.499,5.50205,86,4
time,14.6,48.5094,106.379,
soc,73,75,44,
f1,f2,first_soc,front
123.017,6.18621,82,4
time,30.92,63.2112,
soc,51,74,
f1,f2,first_soc,front
119.694,12.9578,92,4
time,44.52,77.5148,
soc,55,68,
f1,f2,first_soc,front
117.426,13.9885,91,4
time,29.56,71.5757,
soc,87,79,
f1,f2,first_soc,front
114.167,17.3219,94,4
time,3.72,21.1005,57.9457,
soc,92,84,75,
f1,f2,first_soc,front
110.566,71.174,96,4
time,11.88,43.5468,63.0483,
soc,92,84,84,
f1,f2,first_soc,front
146.045,5.25162,82,5
time,37.72,85.1621,121.639,
soc,80,77,74,
f1,f2,first_soc,front
114.081,52.8857,94,5
time,40.44,
soc,88,
f1,f2,first_soc,front
134.757,6.85185,86,5
time,30.92,81.9377,116.603,
soc,84,69,58,
f1,f2,first_soc,front
114.457,28.1834,91,5
time,2.36,56.4442,
soc,93,63,
f1,f2,first_soc,front
124.047,7.87162,80,5
time,33.64,85.9108,100.272,107.171,
soc,65,30,28,37,
f1,f2,first_soc,front
115.237,20.1284,98,5
time,49.96,71.1613,108.038,
soc,39,59,29,
f1,f2,first_soc,front
121.709,13.0526,93,5
time,25.48,47.6496,67.2937,91.4914,
soc,81,80,85,76,
f1,f2,first_soc,front
117.917,16.4628,98,5
time,1,43.6357,79.4334,
soc,100,61,60,
f1,f2,first_soc,front
117.952,15.0184,100,5
time,36.36,90.5441,
soc,76,49,
f1,f2,first_soc,front
131.868,8.25323,86,6
time,33.64,56.8094,114.499,
soc,43,82,57,
f1,f2,first_soc,front
115.747,30.2012,95,6
time,1,50.4357,63.2712,97.2422,
soc,97,25,48,36,
f1,f2,first_soc,front
118.638,15.8475,96,6
time,21.4,44.4288,56.4699,80.6235,
soc,82,70,84,80,
f1,f2,first_soc,front
124.709,13.6017,89,6
time,43.16,64.6672,
soc,37,82,
f1,f2,first_soc,front
128.032,8.36086,86,6
time,35,73.732,94.8228,100.246,
soc,58,37,23,55,
f1,f2,first_soc,front
117.709,22.6433,96,6
time,30.92,70.206,
soc,60,61,
f1,f2,first_soc,front
126.765,12.4025,83,6
time,41.8,81.1967,
soc,58,73,
f1,f2,first_soc,front
117.747,21.9799,86,6
time,22.76,56.23,64.8325,
soc,58,19,62,
f1,f2,first_soc,front
133.755,9.89455,96,7
time,41.8,93.5918,
soc,74,81,
f1,f2,first_soc,front
118.664,26.7678,100,7
time,54.04,102.858,
soc,59,41,
f1,f2,first_soc,front
119.219,18.0303,91,7
time,32.28,73.413,
soc,59,59,
f1,f2,first_soc,front
125.853,17.7047,90,7
time,15.96,71.2219,75.357,
soc,90,24,75,
f1,f2,first_soc,front
129.174,15.9566,99,7
time,43.16,93.729,
soc,83,82,
f1,f2,first_soc,front
133.292,12.3113,87,7
time,1,28.3763,80.5265,
soc,90,80,82,
f1,f2,first_soc,front
131.654,14.6508,87,7
time,41.8,113.058,
soc,82,49,
f1,f2,first_soc,front
131.904,14.0546,81,7
time,18.68,53.9005,108.735,
soc,77,74,45,
f1,f2,first_soc,front
143.441,10.936,91,8
time,37.72,77.8207,102.642,122.914,
soc,61,42,50,77,
f1,f2,first_soc,front
120.109,20.5364,94,8
time,39.08,98.2648,
soc,92,57,
f1,f2,first_soc,front
130.214,16.4046,83,8
time,32.28,88.7989,
soc,68,61,
f1,f2,first_soc,front
134.613,12.0107,93,8
time,25.48,68.7098,82.199,95.9197,
soc,85,55,48,78,
f1,f2,first_soc,front
124.015,19.7212,99,8
time,49.96,67.1209,90.3584,
soc,32,60,78,
f1,f2,first_soc,front
122.787,19.9704,84,8
time,43.16,48.7763,75.9032,
soc,14,46,70,
f1,f2,first_soc,front
139.335,13.1925,81,9
time,18.68,28.1793,55.6552,102.259,
soc,53,49,60,73,
f1,f2,first_soc,front
120.195,101.089,83,9
time,1,24.9581,49.0315,
soc,94,93,98,
f1,f2,first_soc,front
120.273,21.5901,98,9
time,5.08,34.548,70.218,
soc,94,81,82,
f1,f2,first_soc,front
130.969,16.6455,97,9
time,26.84,82.3314,93.6836,
soc,84,37,78,
f1,f2,first_soc,front
127.005,20.1654,89,9
time,2.36,49.9734,112.475,
soc,91,82,47,
f1,f2,first_soc,front
137.998,16.0323,95,9
time,2.36,46.7129,57.4315,104.441,
soc,95,39,73,75,
f1,f2,first_soc,front
138.295,13.4389,80,9
time,9.16,49.4229,69.6416,104.179,
soc,89,73,85,77,
f1,f2,first_soc,front
144.479,13.2943,83,10
time,26.84,55.5969,93.9527,100.924,118.402,
soc,79,75,21,45,79,
f1,f2,first_soc,front
120.311,53.9889,100,10
time,41.8,64.7611,
soc,64,93,
f1,f2,first_soc,front
120.958,30.5426,98,10
time,14.6,74.4975,
soc,97,67,
f1,f2,first_soc,front
131.368,17.6545,97,10
time,47.24,74.8827,104.499,
soc,42,52,67,
f1,f2,first_soc,front
131.162,22.6943,99,10
time,6.44,54.2749,100.475,
soc,94,82,81,
f1,f2,first_soc,front
123.568,22.7593,88,10
time,45.88,111.068,
soc,72,34,
f1,f2,first_soc,front
122.558,23.1923,85,10
time,43.16,110.709,
soc,73,29,
f1,f2,first_soc,front
152.032,15.8371,82,11
time,33.64,47.7548,52.2485,83.008,103.28,128.785,
soc,48,51,71,45,61,88,
f1,f2,first_soc,front
120.554,57.7318,80,11
time,29.56,53.0803,
soc,69,95,
f1,f2,first_soc,front
143.191,17.7847,88,11
time,15.96,58.3613,109.509,
soc,76,61,72,
f1,f2,first_soc,front
122.335,40.6663,84,11
time,11.88,38.7306,46.8533,94.7556,
soc,100,100,99,37,
f1,f2,first_soc,front
123.408,26.9374,99,11
time,5.08,12.2829,45.3701,92.7838,
soc,94,95,79,55,
f1,f2,first_soc,front
133.129,17.9347,86,11
time,29.56,101.797,
soc,93,62,
f1,f2,first_soc,front
122.512,38.322,92,11
time,39.08,64.792,
soc,50,83,
f1,f2,first_soc,front
129.933,22.8723,82,11
time,9.16,21.7971,48.3259,64.9175,94.5954,
soc,74,90,87,85,71,
f1,f2,first_soc,front
125.047,25.8617,97,11
time,26.84,45.4563,50.6317,95.5755,
soc,81,83,88,56,
f1,f2,first_soc,front
