第0世代
f1,f2,time_count
118.742,11.5601,3
105.27,20.104,2
109.017,15.8212,2
110.957,13.5996,2
113.085,11.6597,3
110.494,14.6231,3
116.878,11.5607,3
113.634,11.5634,2

第1世代
f1,f2,time_count
117.555,11.5601,3
105.27,20.104,2
105.775,19.5265,2
109.017,15.8212,2
115.696,11.5607,3
113.634,11.5634,2
110.957,13.5996,2
112.74,12.5663,2
111.25,13.2687,2
112.977,11.5658,2
110.128,15.5477,2
110.494,14.6231,3
110.494,14.6231,3
112.121,12.7631,3
109.921,15.7906,2
112.151,12.731,3

第2世代
f1,f2,time_count
114.484,11.5601,3
104.068,30.5877,2
104.083,22.4621,2
106.972,19.1606,2
108.219,16.7337,2
104.361,22.1468,2
105.775,19.5265,2
105.27,20.104,2
113.313,11.5615,3
110.957,13.5996,2
109.017,15.8212,2
111.893,13.0239,3
109.017,15.8212,2
109.921,15.7906,2
110.494,14.6231,3
110.136,15.0353,3
105.27,20.104,2
112.977,11.5658,2
112.74,12.5663,2
111.25,13.2687,2
110.494,14.6231,3
112.222,12.6472,3
112.735,12.5678,2
111.25,13.2687,2
112.121,12.7631,3
110.063,15.6268,2
112.977,11.5658,2
110.128,15.5477,2
109.921,15.7906,2
112.151,12.731,3
110.128,15.5477,2
112.151,12.731,3
112.74,12.5663,2

第3世代
f1,f2,time_count
114.308,11.5601,3
104.068,30.5877,2
104.068,30.5877,2
104.083,22.4621,2
104.361,22.1468,2
105.27,20.104,2
107.144,17.9614,2
108.189,17.7681,2
109.442,15.3321,2
108.219,16.7337,2
111.82,12.6121,2
110.136,15.0353,3
106.745,19.4231,2
108.939,16.4002,3
105.775,19.5265,2
113.313,11.5607,3
110.957,13.5996,2
111.25,13.2687,2
112.303,12.5534,3
106.972,19.1606,2
105.27,20.104,2
105.775,19.5265,2
110.818,14.2594,3
109.017,15.8212,2
112.803,11.9806,3
110.494,14.6231,3
112.51,12.3192,3
110.636,14.4634,3
112.661,12.1478,3
111.25,13.2687,2
104.083,22.4621,2
112.977,11.5658,2
109.017,15.8212,2
106.972,19.1606,2
113.313,11.5615,3
112.977,11.5658,2
110.494,14.6231,3
111.25,13.2687,2
109.017,15.8212,2
109.017,15.8212,2
104.083,22.4621,2

第4世代
f1,f2,time_count
114.308,11.5601,3
104.068,30.5877,2
104.068,30.5877,2
104.083,22.4621,2
104.361,22.1468,2
105.27,20.104,2
