第0世代
f1,f2,time_count
117.058,11.5607,2
105.384,21.9412,1
106.967,19.17,2
109.005,16.3268,3
110.719,14.8772,2
113.775,11.563,2
105.926,20.3592,2
112.053,13.3516,2
109.527,16.2365,2
112.593,13.1737,4
113.166,11.5717,3
106.353,19.3664,3

第1世代
f1,f2,time_count
117.058,11.5607,2
105.232,20.639,3
108.664,17.224,2
106.212,18.5372,1
110.719,14.8772,2
112.053,13.3516,2
113.775,11.563,2
105.926,20.3592,2
112.881,12.4032,2
106.199,19.0414,2
110.356,15.2919,2
108.737,15.6497,1
108.884,15.4831,1
112.593,13.1737,4
113.166,11.5717,3

第2世代
f1,f2,time_count
120.805,11.5601,2
104.52,20.1994,1
107.697,16.5676,1
117.058,11.5607,2
106.212,18.5372,1
105.853,18.948,1
111.949,14.1623,1
113.775,11.563,2
112.881,12.4032,2
110.719,14.8772,2
108.737,15.6497,1
109.735,14.998,2
112.265,13.1065,2
113.166,11.5717,3
112.053,13.3516,2
108.884,15.4831,1

第3世代
f1,f2,time_count
104.52,20.1994,1
116.305,11.5601,2
105.853,18.948,1
107.697,16.5676,1
110.252,13.9172,1
109.735,14.998,2
113.775,11.563,2
111.184,13.3438,2
112.881,12.4032,2
108.737,15.6497,1
107.502,17.5505,2
113.166,11.5717,3
108.884,15.4831,1
107.063,18.0529,2
106.035,18.4669,1
106.785,18.3715,2
112.376,12.9779,2
112.199,13.1823,2
112.265,13.1065,2

第4世代
f1,f2,time_count
115.494,11.5601,3
103.869,23.4023,1
104.52,20.1994,1
112.472,11.8689,2
107.697,16.5676,1
110.581,13.2695,1
105.775,19.5319,2
107.045,17.3119,1
111.608,12.8546,2
108.659,16.2364,2
104.843,20.103,1
106.035,18.4669,1
115.118,11.5615,2
113.775,11.563,2
110.252,13.9172,1
110.174,14.4988,2
108.884,15.4831,1
106.717,17.9597,1
111.543,12.9389,2
109.669,15.0777,2
105.853,18.948,1
113.166,11.5717,3
109.735,14.998,2
108.737,15.6497,1
106.864,17.793,1
113.416,11.5638,2

第5世代
f1,f2,time_count
103.869,23.4023,1
114.578,11.5601,2
104.015,20.7769,1
111.263,12.7622,1
112.472,11.8689,2
110.076,13.847,1
109.389,14.9056,1
110.581,13.2695,1
107.697,16.5676,1
107.045,17.3119,1
108.055,16.1569,1
106.035,18.4669,1
104.52,20.1994,1
105.318,19.2884,1
108.884,15.4831,1
108.561,15.5794,1
106.717,17.9597,1
112.911,11.5671,2
105.025,19.6219,1
113.482,11.563,2
105.853,18.948,1
104.843,20.103,1
106.864,17.793,1
106,18.7815,1
113.416,11.5638,2

第6世代
f1,f2,time_count
103.869,23.4023,1
114.578,11.5601,2
104.015,20.7769,1
110.076,13.847,1
111.263,12.7622,1
110.581,13.2695,1
107.697,16.5676,1
107.045,17.3119,1
109.389,14.9056,1
108.055,16.1569,1
105.318,19.2884,1
106.54,17.8894,1
108.561,15.5794,1
112.048,12.3522,2
106.035,18.4669,1
104.52,20.1994,1
108.884,15.4831,1
105.853,18.948,1
104.162,20.6101,1
106.864,17.793,1
104.813,19.8659,1
105.025,19.6219,1
109.242,15.0722,1
112.472,11.8689,2
113.992,11.5607,2
112.684,11.6246,2
106,18.7815,1
