第0世代
f1,f2
129.959,0.579092
106.088,31.6989
108.641,22.1734
122.189,4.04807
110.939,15.5888
120.224,5.78296
117.28,8.66123
115.118,9.84285
112.088,13.3084
111.942,13.472
115.911,8.93066
115.616,9.77248

第1世代
f1,f2
124.057,0
106.088,31.6989
108.641,22.1734
107.613,28.1072
120.383,3.30407
109.199,16.6083
110.939,15.5888
116.966,7.87294
118.628,5.79934
113.921,11.5722
120.224,5.78296
111.942,13.472
115.911,8.93066
112.553,12.6106
114.578,10.4709
115.118,9.84285
115.442,9.46941
112.447,12.8945
112.088,13.3084

第2世代
f1,f2
124.057,0
105.853,18.948
109.066,15.002
120.383,3.30407
118.628,5.79934
110.369,13.507
120.224,5.78296
117.353,7.51497
115.911,8.93066
114.199,9.88716
116.966,7.87294
111.942,13.472
113.921,11.5722
112.048,12.3565
113.421,11.7813
115.442,9.46941
115.118,9.84285
112.947,12.3189
113.027,12.2282
115.194,9.74373

第3世代
f1,f2
124.057,0
105.227,20.6458
122.909,1.41579
120.383,3.30407
109.066,15.002
107.369,17.2156
105.853,18.948
120.224,5.78296
110.369,13.507
112.048,12.3565
106.864,17.793
118.628,5.79934
114.199,9.88716
110.757,13.3397
114.932,9.05019
113.737,10.9135
117.353,7.51497
116.966,7.87294
116.075,8.24581
117.932,6.61882
117.845,6.70118
115.911,8.93066
112.947,12.3189
113.421,11.7813
113.027,12.2282
113.568,11.6088
115.977,8.86009
113.522,11.6721

第4世代
f1,f2
124.052,0
105.227,20.6458
122.909,1.41579
120.972,3.11792
105.853,18.948
120.224,5.78296
107.369,17.2156
108.737,15.6497
109.066,15.002
110.369,13.507
120.383,3.30407
112.048,12.3565
106.864,17.793
114.199,9.88716
110.757,13.3397
118.628,5.79934
114.932,9.05019
123.722,0.579735
113.563,10.6318
117.09,7.07408
118.123,6.38782
117.845,6.70118
115.911,8.93066
113.522,11.6721
116.598,8.1473
112.947,12.3189
113.421,11.7813
116.966,7.87294
113.027,12.2282
117.068,7.60107
115.977,8.86009
116.075,8.24581
116.116,8.18746
117.932,6.61882

第5世代
f1,f2
105.227,20.6458
124.052,0
105.677,18.8776
120.383,3.30407
121.467,2.57172
106.864,17.793
119.123,5.25837
107.874,16.6381
108.561,15.5794
109.747,14.4947
114.932,9.05019
122.782,1.56418
122.909,0.578168
113.563,10.6318
109.066,15.002
107.369,17.2156
110.369,13.507
116.512,7.24123
120.972,3.11792
114.214,9.87355
113.522,11.6721
110.757,13.3397
111.396,13.1064
116.116,8.18746
114.199,9.88716
111.863,13.0574
112.048,12.3565
115.911,8.93066
117.171,6.9752
117.845,6.70118
118.28,6.20089
122.909,1.41579
113.05,11.7017
118.628,5.79934
112.51,12.3272
118.86,5.78296
117.09,7.07408
115.977,8.86009
116.075,8.24581
119.088,5.29125
118.123,6.38782
113.027,12.2282
112.947,12.3189
117.932,6.61355

第6世代
f1,f2
124.052,0
105.227,20.6458
105.677,18.8776
122.909,0.578168
118.964,4.92965
120.128,4.04956
114.932,9.05019
121.79,1.20035
109.747,14.4947
115.876,7.9631
106.864,17.793
109.066,15.002
110.369,13.507
108.561,15.5794
118.313,5.67513
120.972,3.11792
113.563,10.6318
120.383,3.30407
108.232,16.2272
111.396,13.1064
121.684,2.32979
114.742,9.83005
121.467,2.57172
110.757,13.3397
113.351,10.8557
114.199,9.88716
107.369,17.2156
111.755,12.686
116.512,7.24123
116.235,7.55878
112.641,12.1617
117.171,6.9752
117.845,6.70118
112.048,12.3565
113.058,11.5671
107.874,16.6381
107.727,16.8047
107.29,17.791
113.05,11.7007
117.09,7.07408
118.28,6.20089
112.51,12.3272
118.123,6.38782
114.214,9.87355
117.932,6.61355

第7世代
f1,f2
124.052,0
105.227,20.6458
122.909,0.578168
105.677,18.8776
121.79,1.20035
117.631,6.45501
118.108,5.41568
120.128,4.04956
119.191,4.66522
110.369,13.507
109.747,14.4947
115.224,8.71503
106.182,18.3001
116.871,6.8328
118.613,4.83818
115.876,7.9631
113.563,10.6318
109.066,15.002
121.467,2.57172
120.383,3.30407
108.561,15.5794
121.585,1.92445
111.379,12.3521
110.874,12.9296
113.351,10.8557
114.199,9.88716
107.369,17.2156
116.512,7.24123
111.768,12.1847
112.341,12.0125
109.735,14.9922
106.717,17.9597
113.058,11.5671
114.492,9.82926
107.727,16.8047
110.757,13.3397
108.379,16.0606
108.055,16.1569
107.29,17.791
120.972,3.11792
112.553,11.7795
107.874,16.6381
114.932,9.05019
116.235,7.55878
114.719,9.29188
120.962,3.14874
116.073,7.74465
106.864,17.793
113.015,11.7364
114.785,9.22024
114.214,9.87355
113.05,11.7007

第8世代
f1,f2
124.052,0
105.227,20.6458
105.677,18.8776
118.108,5.41568
117.245,6.4032
122.909,0.578168
121.79,1.20035
106.182,18.3001
118.613,4.83818
108.561,15.5794
109.066,15.002
121.467,2.57172
122.535,0.844266
120.383,3.30407
121.585,1.92445
111.379,12.3521
110.076,13.847
110.874,12.9296
119.191,4.66522
109.747,14.4947
113.351,10.8557
107.369,17.2156
113.987,10.1303
113.563,10.6318
