第0世代
f1,f2,time_count
121.803,11.5601,3
106.371,24.5211,3
107.649,17.385,2
112.053,13.349,2
109.235,16.5708,2
113.843,11.5658,3
113.525,12.1578,3

第1世代
f1,f2,time_count
121.803,11.5601,3
106.371,24.5211,3
106.972,19.1613,2
118.787,11.563,3
112.048,12.353,2
113.843,11.5658,3
110.866,14.7081,2
109.479,15.7787,3
107.649,17.385,2
113.525,12.1578,3
110.861,14.7112,2
108.729,17.1483,2
109.235,16.5708,2
109.053,16.7786,2
107.649,17.385,2
113.843,11.5658,3

第2世代
f1,f2,time_count
119.424,11.5601,3
105.729,20.5849,2
114.358,11.5624,3
111.548,13.9265,2
112.048,12.353,2
110.24,14.4205,2
106.462,19.7431,2
107.477,18.5838,2
109.164,15.6739,2
109.909,15.293,3
106.972,19.1613,2
113.245,11.9881,2
109.053,16.7786,2
107.649,17.385,2
108.729,17.1483,2
107.649,17.385,2
113.52,11.563,3
113.343,11.5658,3
108.841,17.0231,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2

第3世代
f1,f2,time_count
104.982,21.4333,2
113.525,11.5601,3
105.469,20.3621,3
109.735,14.998,2
112.005,12.8912,3
111.371,14.1306,2
106.825,19.328,2
107.144,17.9625,2
106.462,19.7431,2
106.851,18.2946,2
107.649,17.385,2
110.24,14.4205,2
108.548,17.3561,2
109.164,15.6739,2
112.838,11.945,3
109.229,15.5746,2
112.656,12.1491,3
109.053,16.7786,2
110.24,14.4205,2
111.548,13.9265,2
113.343,11.5658,3
112.048,12.353,2
106.467,19.7388,2
111.548,13.9265,2
112.048,12.353,2
107.649,17.385,2
108.841,17.0231,2
109.053,16.7786,2
108.729,17.1483,2
108.841,17.0231,2
113.52,11.563,3
113.343,11.5658,3
111.548,13.9265,2
108.729,17.1483,2
108.729,17.1483,2
107.649,17.385,2
106.462,19.7431,2
106.467,19.7388,2
113.52,11.563,3
107.649,17.385,2
106.462,19.7431,2
111.548,13.9265,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2
107.649,17.385,2
