第0世代
f1,f2
118.919,11.5601
104.639,28.3915
106.163,20.0785
116.396,11.5615
113.336,11.563
107.391,18.6795
109.002,15.8363
109.747,14.4947
117.921,11.5607
111.323,13.6775
110.076,13.847
112.553,11.7765
107.717,17.7994
108.841,17.0203
108.257,17.1803
112.545,13.2733
112.083,13.3136
123.477,11.5601
104.719,36.9375
106.326,22.1296
105.474,31.6778
111.694,13.7628
108.482,17.4312
118.598,11.5615
109.045,16.2815
122.027,11.5607
113.159,12.0828
115.32,11.563
113.921,11.5747
114.932,11.5658
129.676,11.5601
106.52,35.8036
107.063,28.1563
122.825,11.5607
108.57,17.8226
107.389,22.8419
110.876,16.6535
112.075,13.8152
107.149,24.7971
119.146,11.5615
115.459,11.5818
114.411,11.6407
117.57,11.5659
113.547,12.633
113.215,13.2529
118.282,11.563
131.977,11.5607
107.089,29.0472
108.966,17.8649
108.122,28.3628
122.681,11.563
128.449,11.5615
112.454,14.018
115.356,13.2319
111.606,16.7106
115.459,11.5818
118.846,11.5638
110.932,17.0902
118.305,11.5676
112.454,14.018
133.237,11.5615
107.487,42.383
109.045,18.6605
125.601,11.5634
108.806,31.5448
108.186,31.7312
119.355,11.5658
117.977,12.7214
111.709,18.2829
113.053,16.1051
115.427,14.2764
115.063,15.7168
134.934,11.5624
108.355,45.3761
108.486,33.492
123.929,11.5658
110.669,18.8222
129.671,11.5648
109.053,26.882
110.331,23.1178
116.614,14.7974
114.018,16.7092
118.998,13.885
131.393,11.5638
114.997,16.5665
120.113,11.5659
109.733,25.4882
120.01,11.5671
109.252,25.6498
135.507,11.563
108.578,37.0498
110.31,27.9991
125.916,11.5658
132.343,11.5648
120.527,11.5697
110.331,23.119
120.118,14.018
118.202,15.0373
117.916,17.1904
115,17.2588
114.427,18.44
112.5,19.1875
111.401,21.3338
112.447,20.6945
111.048,22.6505
136.444,11.5659
110.395,29.0321
112.99,21.6672
118.244,15.7581
111.284,23.7575
129.818,11.5676
114.636,19.1183
116.439,17.9675
120.19,14.2759
120.878,11.8849
110.997,26.4385
124.378,11.5724
110.487,27.9682
127.106,11.5702
127.37,11.5697
130.244,11.5676
110.823,28.4695
111.691,23.8011
125.881,11.5778
121.719,13.1313
113.495,21.6672
119.424,16.3882
115.214,19.1183
120.631,14.5002
115.18,21.1057
128.466,11.5702
117.768,18.6466
118.507,17.6802
121.444,14.018
118.338,18.3213
137.022,11.5685
111.235,51.5305
111.445,28.9055
126.727,13.1862
120.553,16.5665
130.633,11.5697
111.937,25.0972
117.296,19.5928
123.005,14.0285
114.324,22.4335
130.492,12.9478
122.916,16.1281
115.702,19.8658
114.785,21.6672
111.533,55.5295
