第0世代
f1,f2
126.831,11.5601
105.091,32.4767
106.679,21.9527
118.414,11.5607
106.952,19.1819
108.3,16.6489
109.838,15.3759
113.59,11.5634
111.171,13.843
112.075,12.8177
112.765,11.5702
111.76,13.6856
113.058,11.5658
119.257,11.5634
108.591,20.8207
112.143,14.227
111.022,18.528
114.755,11.5671
109.191,18.5686
113.992,14.018
114.406,12.921
121.896,11.5634
108.741,45.371
109.805,21.5469
112.019,19.2677
113.993,16.9701
115.432,14.2802
119.717,11.5658
116.838,11.5724
116.805,11.5778
121.489,11.5648
125.871,11.5648
110.245,28.0742
115.712,18.1329
120.871,14.018
111.551,22.2356
121.562,11.5697
111.072,24.0011
136.371,11.5676
111.014,28.9002
114.316,23.4698
125.997,11.5702
116.128,19.1183
121.239,17.3038
124.373,15.0092
121.989,15.622
121.642,15.6296
126.567,11.9394
111.294,33.2839
114.533,24.2185
118.932,19.1183
126.416,14.9591
122.828,17.0544
123.759,17.0493
131.083,12.0816
115.436,35.4275
127.326,17.2809
116.552,30.9848
119.157,21.2105
121.414,19.2218
117.986,24.4106
123.947,19.1183
126.275,18.0315
116.62,26.8658
116.798,26.4955
134.929,15.6327
115.53,37.8746
117.894,26.7678
125.527,19.1183
115.671,37.6671
133.629,18.6
121.689,21.5744
120.11,25.1861
134.429,15.6348
120.362,23.3873
121.562,22.803
143.566,16.9852
116.054,44.4761
126.057,19.535
117.571,40.0484
137.027,19.0386
117.94,30.9184
138.47,17.9993
121.568,25.4038
118.275,26.7678
125.342,23.9142
123.647,23.9546
118.168,29.1099
142.545,18.0108
118.879,40.5991
129.05,21.8396
120.707,31.3799
124.526,24.2428
122.126,27.2502
127.044,22.799
121.237,28.8645
136.259,23.3982
119.965,40.9011
128.812,23.5688
121.466,29.2027
126.242,26.7678
120.95,34.9768
144.269,23.8109
121.254,50.3611
136.249,25.0868
121.98,34.9697
121.78,49.1197
130.445,25.7509
122.416,32.4466
126.348,29.8428
128.03,29.2334
129.509,27.603
129.329,27.9011
136.93,25.7045
122.119,55.7271
122.427,45.8355
127.883,29.9351
130.937,29.4743
125.058,32.4476
122.489,39.2413
123.192,37.2045
135.892,25.87
124.411,33.158
133.231,27.1701
132.58,27.5584
147.085,27.6446
123.581,42.1046
125.179,37.1429
140.711,30.7933
143.822,28.441
134.744,30.8259
123.673,41.8449
126.561,34.2944
129.571,31.4345
127.071,33.2268
131.07,30.8272
137.33,30.8475
123.853,42.5709
125.216,40.6418
127.248,34.9715
131.157,31.9842
130.044,32.7036
128.049,34.8631
124.019,41.9646
130.416,32.0533
139.226,31.8782
124.446,41.9658
136.799,35.3226
129.675,35.431
126.241,40.9784
128.468,37.9109
129.178,37.824
140.434,32.9856
124.668,55.2762
132.767,36.8196
139.788,33.727
125.75,43.9571
129.115,38.7659
128.777,41.9626
126.456,43.279
129.031,39.9157
129.094,38.7935
142.161,34.1458
125.155,77.9001
126.204,50.9758
131.188,38.7882
135.576,37.1913
129.037,42.5903
138.462,37.168
126.802,45.2905
141.192,35.5905
126.778,47.7802
141.844,35.1543
152.043,34.7885
126.326,62.7673
144.161,35.6855
127.52,49.911
127.419,61.3247
138.639,37.1892
131.421,42.5782
127.722,46.6933
135.796,38.3735
131.758,39.376
133.917,38.8054
157.16,35.3221
127.588,54.6878
146.529,36.0412
140.336,37.2164
131.326,49.862
135.323,39.9516
131.43,43.2032
129.434,49.9371
134.256,41.085
132.107,41.9829
131.913,42.7854
140.58,37.7631
129.465,58.8143
131.97,45.2229
134.114,43.1399
138.324,41.2099
139.157,40.9011
132.176,43.5596
149.008,37.7646
129.859,59.6926
132.158,49.6502
145.266,39.3633
138.541,41.3044
137.176,47.3963
134.694,47.8335
138.332,43.0069
150.709,39.9453
130.421,68.0353
134.826,49.0307
131.266,63.8315
148.829,40.3765
139.223,41.3726
140.071,41.3048
158.456,39.9615
132.04,84.5247
135.639,78.8249
148.927,40.3832
135.787,51.626
141.358,42.0883
139.703,44.1039
137.263,51.5033
132.143,80.5446
148.064,43.5168
136.387,67.1868
138.455,52.3916
140.583,45.1112
136.741,59.058
140.122,45.7146
136.646,66.2191
146.931,47.0849
138.15,62.0564
140.264,48.63
141.972,47.4112
138.939,54.4644
138.775,57.4427
146.159,47.2726
152.204,48.2777
138.21,80.0997
144.496,48.5631
138.582,66.0759
141.576,50.6942
140.147,56.1228
139.004,60.3721
139.056,59.4961
140.077,56.7035
146.674,49.3246
140.917,59.791
143.193,51.9405
141.769,59.5431
145.253,50.7565
144.005,50.9759
154.776,49.6318
142.893,62.8178
145.539,52.0359
153.269,50.4547
156.394,50.7618
143.672,77.3992
146.533,52.1907
146.449,69.6093
155.137,51.6836
159.206,51.0874
146.8,53.2622
151.304,52.7899
153.166,53.2172
146.946,55.6453
148.79,54.0664
150.424,54.1463
146.953,76.3619
147.221,55.8329
148.957,54.8075
158.396,55.3736
149.748,58.0118
156.452,59.2795
150.419,59.2946
156.228,59.4239
150.603,63.0072
152.576,63.6436
151.09,65.4343
164.582,64.1411
151.85,72.8883
152.198,69.0846
167.328,68.0913
153.155,78.8285
160.296,69.4433
156.205,74.742
153.63,76.7815
162.734,69.8908
153.428,96.9262
165.809,75.6428
163.748,97.1392
164.731,87.3323
166.401,92.692
166.29,92.8012
169.186,94.4595
176.682,96.1171
176.342,97.1294

第2世代
f1,f2
128.881,23.1215
103.656,42.3752
105.853,37.8961
114.782,23.123
107.874,33.2761
110.373,29.5388
112.434,24.813
109.066,30.2753
112.553,23.5551
113.343,23.1277
116.186,23.123
104.654,53.6225
108.371,35.1194
112.886,24.8142
110.684,29.8513
110.244,32.8079
114.84,23.1316
108.548,34.7162
122.76,23.123
105.406,68.6712
114.972,23.1318
110.888,30.3554
110.288,42.3253
108.242,56.5474
105.596,63.2555
109.843,48.744
108.371,50.2331
125.212,23.123
107.999,71.2957
115.598,25.4456
111.593,31.6469
109.696,50.9375
111.448,48.0505
121.631,23.1444
123.903,23.1318
122.244,23.137
125.992,23.1316
108.613,73.8643
122.754,23.1447
111.608,35.7163
111.255,53.8384
116.79,25.8393
109.846,62.1534
115.646,26.5563
114.235,33.133
109.998,55.7522
113.179,33.5204
129.557,23.1318
110.202,60.7579
112.205,42.494
122.593,27.7847
118.02,30.0568
126.027,23.1494
124.28,26.4141
115.654,38.2366
116.19,32.8121
116.598,30.3329
113.031,41.0887
114.917,40.1141
114.569,41.0039
135.61,32.4297
111.468,75.3689
122.823,32.7922
112.28,68.1823
116.911,38.2366
112.377,50.3146
114.608,43.3345
