first_generation
f1,f2,time_count
126.831,11.5601,2
105.091,32.4767,1
106.679,21.9527,2
118.414,11.5607,3
106.952,19.1819,2
108.3,16.6489,2
109.838,15.3759,3
113.59,11.5634,3
111.171,13.843,3
112.075,12.8177,3
112.765,11.5702,2
111.76,13.6856,2
113.058,11.5658,2

eta2
f1,f2,time_count
128.881,23.1215,4
103.656,42.3752,1
105.853,37.8961,1
114.782,23.123,3
107.874,33.2761,1
110.373,29.5388,3
112.434,24.813,3
109.066,30.2753,1
112.553,23.5551,2
113.343,23.1277,3

eta5
f1,f2,time_count
126.149,23.1202,2
104.947,42.96,2
109.053,33.5556,2
113.22,27.5307,2
114.461,23.1576,4
119.606,23.1215,3
110.409,29.4403,3
110.209,30.925,2
118.52,23.1316,3
119.207,23.1295,3

eta10
f1,f2,time_count
127.073,23.1202,4
105.596,64.526,1
106.447,39.5188,2
117.848,23.123,3
112.805,29.8955,2
109.492,32.5741,2
109.558,32.4062,2
112.825,24.8927,4
114.777,23.1267,3
113.873,23.5257,3
114.449,23.137,3
109.497,32.5641,2

eta20
f1,f2,time_count
129.896,23.123,2
106.313,52.6387,3
106.813,42.0328,3
115.282,23.1267,3
111.57,31.6972,3
108.987,33.7291,2
113.555,23.1277,3

eta50
f1,f2,time_count
126.567,23.1202,4
105.495,38.718,1
114.255,23.1247,2
109.111,34.4159,3
111.176,27.686,3
109.346,32.8892,2
109.984,30.4041,3
113.215,26.491,2
108.108,36.7697,2
113.262,24.9154,3
107.457,37.2088,2
110.489,29.2491,3
113.957,23.1404,2
114.095,23.129,3

