ElapsedTime(s),Battery(%),DistanceRemaining,ElapsedTimeDiff(s),BatteryDiff(%),ElapsedTimeDiff(min),,,A_to_B_time [min],B_to_A_time [min],A_to_B_E [%],B_to_A_E [%]
1.28471,99.9787,9.8897,21.1,0.61,0.35,,1,0.35,0.37,0.61,0.63
22.4253,99.3692,0.212132,,,,,2,0.36,0.36,0.62,0.62
22.4355,99.3692,9.68614,22.0,0.63,0.37,,3,0.36,0.36,0.62,0.62
44.3961,98.7395,0.212132,,,,,4,0.36,0.37,0.63,0.63
44.4063,98.7395,9.68614,21.6,0.62,0.36,,5,0.36,0.36,0.62,0.62
66.0069,98.1184,0.282843,,,,,6,0.36,0.37,0.62,0.63
66.0171,98.1155,9.71543,21.7,0.62,0.36,,7,0.36,0.37,0.62,0.63
87.7378,97.4916,0.212132,,,,,8,0.36,0.37,0.62,0.63
87.748,97.4916,9.73614,21.6,0.62,0.36,,9,0.36,0.36,0.62,0.63
109.299,96.8734,0.141421,,,,,10,0.36,0.36,0.62,0.63
109.309,96.8706,9.73614,21.7,0.62,0.36,,Avg.,0.36,0.36,0.62,0.63
130.989,96.2496,0.141421,,,,,,,,,
131,96.2496,9.75685,21.8,0.63,0.36,,,,,,
152.79,95.6228,0.141421,,,,,,,,,
152.8,95.6228,9.73614,22.0,0.63,0.37,,,,,,
174.761,94.9903,0.212132,,,,,,,,,
174.771,94.9903,9.68614,21.7,0.62,0.36,,,,,,
196.502,94.3663,0.141421,,,,,,,,,
196.512,94.3635,9.73614,21.8,0.62,0.36,,,,,,
218.283,93.7397,0.212132,,,,,,,,,
218.293,93.7397,9.73614,21.7,0.62,0.36,,,,,,
239.973,93.1157,0.212132,,,,,,,,,
239.984,93.1157,9.73614,21.9,0.63,0.37,,,,,,
261.894,92.486,0.141421,,,,,,,,,
261.904,92.486,9.68614,21.5,0.62,0.36,,,,,,
283.395,91.8679,0.212132,,,,,,,,,
283.405,91.8679,9.73614,22.0,0.63,0.37,,,,,,
305.376,91.2353,0.141421,,,,,,,,,
305.386,91.2353,9.75685,21.6,0.62,0.36,,,,,,
326.937,90.6142,0.141421,,,,,,,,,
326.947,90.6142,9.75685,22.0,0.63,0.37,,,,,,
348.917,89.9817,0.212132,,,,,,,,,
348.928,89.9817,9.73614,21.7,0.62,0.36,,,,,,
370.668,89.3579,0.141421,,,,,,,,,
370.678,89.3579,9.75685,21.7,0.63,0.36,,,,,,
392.41,88.7311,0.212132,,,,,,,,,
392.42,88.7311,9.73614,21.7,0.62,0.36,,,,,,
414.071,88.11,0.282843,,,,,,,,,
414.081,88.11,9.78614,21.9,0.63,0.36,,,,,,
435.941,87.4803,0.212132,,,,,,,,,
