ElapsedTime(s),Battery(%),DistanceRemaining,ElapsedTimeDiff(s),BatteryDiff(%),ElapsedTimeDiff(min),,,,A_to_cs_time [min],A_to_cs_E [%]
1.25523,99.9541,8.50624,18.6,0.44,0.31,,,1,0.31,0.44
19.8055,99.5144,0.220711,,,,,,2,0.30,0.46
19.8157,99.5144,8.18909,18.2,0.46,0.30,,,3,0.32,0.46
37.9664,99.0499,0.282843,,,,,,4,0.31,0.47
37.9768,99.0499,8.23553,19.3,0.46,0.32,,,5,0.32,0.47
57.2871,98.5862,0.220711,,,,,,6,0.30,0.47
57.2973,98.5862,8.18909,18.5,0.47,0.31,,,7,0.33,0.47
75.7581,98.1174,0.212132,,,,,,8,0.31,0.48
75.7683,98.1174,8.25624,19.5,0.47,0.32,,,9,0.32,0.47
95.2288,97.6512,0.270711,,,,,,10,0.30,0.46
95.239,97.6512,8.23909,18.3,0.47,0.30,,,Avg.,0.31,0.47
113.49,97.1815,0.212132,,,,,,,,
113.5,97.1815,8.25624,19.9,0.47,0.33,,,,,
133.41,96.7084,0.220711,,,,,,,,
133.421,96.7084,8.23909,18.6,0.48,0.31,,,,,
151.971,96.231,0.262132,,,,,,,,
151.981,96.231,8.23553,19.5,0.47,0.32,,,,,
171.442,95.7566,0.220711,,,,,,,,
171.452,95.7566,8.23909,18.1,0.46,0.30,,,,,
189.513,95.295,0.212132,,,,,,,,
189.523,95.295,8.20624,19.4,0.47,0.32,,,,,
208.934,94.8292,0.2,,,,,,,,
208.944,94.8292,8.23909,18.1,0.46,0.30,,,,,
227.054,94.3671,0.212132,,,,,,,,
