ElapsedTime(s),Battery(%),DistanceRemaining,ElapsedTimeDiff(s),BatteryDiff(%),ElapsedTimeDiff(min),,,A_to_cs_time [min],A_to_cs_E [%]
22.2455,99.3788,8.38909,19.6,0.47,0.33,,1,0.33,0.47
41.8061,98.9084,0.2,,,,,2,0.30,0.47
41.8164,98.9084,8.30122,18.1,0.47,0.30,,3,0.33,0.46
59.937,98.4368,0.212132,,,,,4,0.30,0.47
59.9473,98.4368,8.31838,19.7,0.46,0.33,,5,0.33,0.47
79.6078,97.9763,0.220711,,,,,6,0.30,0.48
79.618,97.9763,8.35122,17.9,0.47,0.30,,7,0.31,0.45
97.5385,97.5101,0.212132,,,,,8,0.33,0.48
97.5487,97.5101,8.31838,19.6,0.47,0.33,,9,0.31,0.46
117.109,97.0446,0.2,,,,,10,0.33,0.48
117.12,97.0446,8.28051,18.3,0.48,0.30,,Avg.,0.32,0.47
135.38,96.5691,0.212132,,,,,,,
135.39,96.5691,8.31838,20.0,0.45,0.33,,,,
155.401,96.1235,0.220711,,,,,,,
155.411,96.1248,8.3098,18.4,0.48,0.31,,,,
173.781,95.6427,0.212132,,,,,,,
173.792,95.6427,8.31838,19.7,0.46,0.33,,,,
193.502,95.1787,0.2,,,,,,,
193.512,95.18,8.35122,18.6,0.48,0.31,,,,
212.143,94.6988,0.212132,,,,,,,
212.153,94.6988,8.36838,19.6,0.47,0.33,,,,
231.764,94.233,0.2,,,,,,,
231.774,94.233,8.28051,18.2,0.48,0.30,,,,
249.985,93.7578,0.212132,,,,,,,
