ElapsedTime(s),Battery(%),ChargeRate(%/min),,Cc-speed [%/min],Cv-speed [%/min]
23.5982,84.3514,,,1.98,0.98
23.6982,84.3547,1.98,,,
23.7982,84.358,1.98,,,
23.8982,84.3613,1.98,,,
23.9982,84.3646,1.98,,,
24.0982,84.368,2.04,,,
24.1982,84.3713,1.98,,,
24.2982,84.3746,1.98,,,
24.3982,84.3779,1.98,,,
24.4982,84.3812,1.98,,,
24.5982,84.3845,1.98,,,
24.6982,84.3878,1.98,,,
24.7982,84.3911,1.98,,,
24.8981,84.3944,1.98,,,
24.9981,84.3977,1.98,,,
25.0982,84.401,1.98,,,
25.1982,84.4043,1.98,,,
25.2982,84.4076,1.98,,,
25.3982,84.411,2.04,,,
25.4982,84.4143,1.98,,,
25.5983,84.4176,1.98,,,
25.6982,84.4209,1.98,,,
25.7981,84.4242,1.98,,,
25.8982,84.4275,1.98,,,
25.9982,84.4308,1.98,,,
26.0981,84.4341,1.98,,,
26.1981,84.4374,1.98,,,
26.2982,84.4407,1.98,,,
26.3982,84.444,1.98,,,
26.4981,84.4473,1.98,,,
26.5982,84.4506,1.98,,,
26.6982,84.454,2.04,,,
26.7982,84.4573,1.98,,,
26.8982,84.4606,1.98,,,
26.9981,84.4639,1.98,,,
27.0982,84.4672,1.98,,,
27.1982,84.4705,1.98,,,
27.2982,84.4738,1.98,,,
27.3982,84.4771,1.98,,,
27.4982,84.4804,1.98,,,
27.5982,84.4837,1.98,,,
27.6982,84.487,1.98,,,
27.7982,84.4903,1.98,,,
27.8982,84.4936,1.98,,,
27.9982,84.4969,1.98,,,
28.0982,84.5003,2.04,,,
28.1982,84.5036,1.98,,,
28.2982,84.5069,1.98,,,
28.3982,84.5102,1.98,,,
28.4981,84.5135,1.98,,,
28.5982,84.5168,1.98,,,
28.6982,84.5201,1.98,,,
28.7982,84.5234,1.98,,,
28.8982,84.5267,1.98,,,
28.9982,84.53,1.98,,,
29.0982,84.5333,1.98,,,
29.1982,84.5366,1.98,,,
29.2982,84.5399,1.98,,,
29.3982,84.5433,2.04,,,
29.4982,84.5466,1.98,,,
29.5982,84.5499,1.98,,,
29.6982,84.5532,1.98,,,
29.7982,84.5565,1.98,,,
29.8982,84.5598,1.98,,,
29.9982,84.5631,1.98,,,
30.0982,84.5664,1.98,,,
30.1981,84.5697,1.98,,,
30.2982,84.573,1.98,,,
30.3982,84.5763,1.98,,,
30.4982,84.5796,1.98,,,
30.5982,84.5829,1.98,,,
30.6982,84.5863,2.04,,,
30.7982,84.5896,1.98,,,
30.8982,84.5929,1.98,,,
30.9982,84.5962,1.98,,,
31.0982,84.5995,1.98,,,
31.1982,84.6028,1.98,,,
31.2982,84.6061,1.98,,,
31.3982,84.6094,1.98,,,
31.4982,84.6127,1.98,,,
31.5982,84.616,1.98,,,
31.6982,84.6193,1.98,,,
31.7982,84.6226,1.98,,,
31.8982,84.6259,1.98,,,
31.9982,84.6292,1.98,,,
32.0982,84.6326,2.04,,,
32.1982,84.6359,1.98,,,
32.2982,84.6392,1.98,,,
32.3982,84.6425,1.98,,,
32.4982,84.6458,1.98,,,
32.5982,84.6491,1.98,,,
32.6982,84.6524,1.98,,,
32.7983,84.6557,1.98,,,
32.8982,84.659,1.98,,,
32.9982,84.6623,1.98,,,
33.0982,84.6656,1.98,,,
33.1982,84.6689,1.98,,,
33.2982,84.6722,1.98,,,
33.3982,84.6755,1.98,,,
33.4982,84.6789,2.04,,,
33.5982,84.6822,1.98,,,
33.6982,84.6855,1.98,,,
33.7982,84.6888,1.98,,,
33.8982,84.6921,1.98,,,
33.9982,84.6954,1.98,,,
34.0982,84.6987,1.98,,,
34.1982,84.702,1.98,,,
34.2982,84.7053,1.98,,,
34.3982,84.7086,1.98,,,
34.4982,84.7119,1.98,,,
34.5982,84.7152,1.98,,,
34.6982,84.7185,1.98,,,
34.7982,84.7219,2.04,,,
34.8982,84.7252,1.98,,,
34.9982,84.7285,1.98,,,
35.0982,84.7318,1.98,,,
35.1982,84.7351,1.98,,,
35.2982,84.7384,1.98,,,
35.3982,84.7417,1.98,,,
35.4982,84.745,1.98,,,
35.5982,84.7483,1.98,,,
35.6981,84.7516,1.98,,,
35.7981,84.7549,1.98,,,
35.8982,84.7582,1.98,,,
35.9982,84.7615,1.98,,,
36.0982,84.7649,2.04,,,
36.1982,84.7682,1.98,,,
36.2982,84.7715,1.98,,,
36.3982,84.7748,1.98,,,
36.4982,84.7781,1.98,,,
36.5982,84.7814,1.98,,,
36.6982,84.7847,1.98,,,
36.7983,84.788,1.98,,,
36.8982,84.7913,1.98,,,
36.9982,84.7946,1.98,,,
37.0982,84.7979,1.98,,,
37.1982,84.8012,1.98,,,
37.2982,84.8045,1.98,,,
37.3982,84.8079,2.04,,,
37.4982,84.8112,1.98,,,
37.5983,84.8145,1.98,,,
37.6982,84.8178,1.98,,,
37.7982,84.8211,1.98,,,
37.8982,84.8244,1.98,,,
37.9982,84.8277,1.98,,,
38.0982,84.831,1.98,,,
38.1982,84.8343,1.98,,,
38.2982,84.8376,1.98,,,
38.3982,84.8409,1.98,,,
38.4982,84.8442,1.98,,,
38.5982,84.8475,1.98,,,
38.6982,84.8508,1.98,,,
38.7982,84.8542,2.04,,,
38.8982,84.8575,1.98,,,
38.9982,84.8608,1.98,,,
39.0982,84.8641,1.98,,,
39.1982,84.8674,1.98,,,
39.2983,84.8707,1.98,,,
39.3982,84.874,1.98,,,
39.4982,84.8773,1.98,,,
39.5982,84.8806,1.98,,,
39.6982,84.8839,1.98,,,
39.7982,84.8872,1.98,,,
39.8982,84.8905,1.98,,,
39.9982,84.8938,1.98,,,
40.0982,84.8972,2.04,,,
40.1982,84.9005,1.98,,,
40.2982,84.9038,1.98,,,
40.3983,84.9071,1.98,,,
40.4982,84.9104,1.98,,,
40.5982,84.9137,1.98,,,
40.6982,84.917,1.98,,,
40.7982,84.9203,1.98,,,
40.8982,84.9236,1.98,,,
40.9982,84.9269,1.98,,,
41.0982,84.9302,1.98,,,
41.1982,84.9335,1.98,,,
41.2982,84.9368,1.98,,,
41.3982,84.9402,2.04,,,
41.4982,84.9435,1.98,,,
41.5982,84.9468,1.98,,,
41.6982,84.9499,1.86,,,
41.7982,84.9532,1.98,,,
41.8982,84.9565,1.98,,,
41.9982,84.9598,1.98,,,
42.0983,84.9631,1.98,,,
42.1982,84.9664,1.98,,,
42.2982,84.9697,1.98,,,
