ElapsedTime(s),Battery(%),DistanceRemaining,,,,
1.07474,99.9845,0,,0.20997,,=
1.08428,99.9845,0,,,,
1.09444,99.9845,0,,,,
1.10437,99.9845,0,,,,
1.11435,99.9816,0,,,,
1.12435,99.9816,0,,,,
1.13438,99.9816,0,,,,
1.14438,99.9816,0,,,,
1.15439,99.9816,0,,,,
1.16445,99.9816,0,,,,
1.1744,99.9816,0,,,,
1.18444,99.9816,0,,,,
1.19439,99.9816,0,,,,
1.20438,99.9816,0,,,,
1.21438,99.9787,0,,,,
1.2244,99.9787,0,,,,
1.23439,99.9787,0,,,,
1.24438,99.9787,0,,,,
1.25445,99.9787,0,,,,
1.26442,99.9787,0,,,,
1.27435,99.9787,0,,,,
1.28471,99.9787,9.8897,,,,
1.2944,99.9787,9.8897,,,,
1.30434,99.9787,9.8897,,,,
1.31445,99.9758,9.8897,,,,
1.32442,99.9758,9.8897,,,,
1.33439,99.9758,9.8897,,,,
1.34432,99.9758,9.8897,,,,
1.35437,99.9758,9.8897,,,,
1.3644,99.9758,9.8897,,,,
1.37441,99.9758,9.8897,,,,
1.38444,99.9758,9.8897,,,,
1.39439,99.9758,9.8897,,,,
1.40437,99.9758,9.8897,,,,
1.41444,99.973,9.8897,,,,
1.4244,99.973,9.8897,,,,
1.43438,99.973,9.8897,,,,
1.44437,99.973,9.8897,,,,
1.4544,99.973,9.8897,,,,
1.4644,99.973,9.8897,,,,
1.47442,99.973,9.8897,,,,
1.4844,99.973,9.8897,,,,
1.49436,99.973,9.8897,,,,
1.50439,99.973,9.81899,,,,
1.51439,99.9701,9.81899,,,,
1.52439,99.9701,9.81899,,,,
1.53443,99.9701,9.81899,,,,
1.54434,99.9701,9.81899,,,,
1.55432,99.9701,9.81899,,,,
1.5644,99.9701,9.81899,,,,
1.57439,99.9701,9.81899,,,,
1.58443,99.9701,9.81899,,,,
1.59435,99.9701,9.81899,,,,
1.60435,99.9701,9.81899,,,,
1.61438,99.9672,9.81899,,,,
1.6244,99.9672,9.81899,,,,
1.63438,99.9672,9.81899,,,,
1.64437,99.9672,9.81899,,,,
1.65447,99.9672,9.81899,,,,
1.66442,99.9672,9.81899,,,,
1.67444,99.9672,9.81899,,,,
1.6844,99.9672,9.81899,,,,
1.69434,99.9672,9.81899,,,,
1.70431,99.9672,9.81899,,,,
1.71437,99.9643,9.81899,,,,
1.7244,99.9643,9.74828,,,,
1.73441,99.9643,9.74828,,,,
1.74428,99.9643,9.74828,,,,
1.75426,99.9643,9.74828,,,,
1.76434,99.9643,9.74828,,,,
1.77433,99.9643,9.74828,,,,
1.78437,99.9643,9.74828,,,,
1.79434,99.9643,9.74828,,,,
1.80433,99.9643,9.74828,,,,
1.81449,99.9615,9.74828,,,,
1.8244,99.9615,9.74828,,,,
1.83439,99.9615,9.74828,,,,
1.84432,99.9615,9.74828,,,,
1.85431,99.9615,9.74828,,,,
1.86433,99.9615,9.74828,,,,
1.87433,99.9615,9.74828,,,,
1.88437,99.9615,9.67756,,,,
1.89427,99.9615,9.67756,,,,
1.90437,99.9615,9.67756,,,,
1.91433,99.9586,9.67756,,,,
1.92431,99.9586,9.67756,,,,
1.9345,99.9586,9.67756,,,,
1.94437,99.9586,9.67756,,,,
1.95428,99.9586,9.67756,,,,
1.96438,99.9586,9.67756,,,,
1.97438,99.9586,9.67756,,,,
1.98438,99.9586,9.67756,,,,
1.99433,99.9586,9.67756,,,,
2.00434,99.9586,9.67756,,,,
2.01441,99.9557,9.67756,,,,
2.02443,99.9557,9.60685,,,,
2.03437,99.9557,9.60685,,,,
2.04434,99.9557,9.60685,,,,
2.05434,99.9557,9.60685,,,,
2.06447,99.9557,9.60685,,,,
2.07441,99.9557,9.60685,,,,
2.08438,99.9557,9.60685,,,,
2.09437,99.9557,9.60685,,,,
2.10431,99.9557,9.60685,,,,
2.11438,99.9528,9.60685,,,,
2.12436,99.9528,9.60685,,,,
2.13437,99.9528,9.60685,,,,
2.14431,99.9528,9.60685,,,,
2.15439,99.9528,9.60685,,,,
2.16441,99.9528,9.53614,,,,
2.17432,99.9528,9.53614,,,,
2.18434,99.9528,9.53614,,,,
2.19429,99.9528,9.53614,,,,
2.2043,99.9528,9.53614,,,,
2.21431,99.95,9.53614,,,,
2.22446,99.95,9.53614,,,,
2.2344,99.95,9.53614,,,,
2.24434,99.95,9.53614,,,,
2.25431,99.95,9.53614,,,,
2.26442,99.95,9.53614,,,,
2.2744,99.95,9.53614,,,,
2.28439,99.95,9.53614,,,,
2.2945,99.95,9.53614,,,,
2.30435,99.95,9.53614,,,,
2.31451,99.9471,9.53614,,,,
2.32446,99.9471,9.46543,,,,
2.33443,99.9471,9.46543,,,,
2.34441,99.9471,9.46543,,,,
2.35439,99.9471,9.46543,,,,
2.36447,99.9471,9.46543,,,,
2.37451,99.9471,9.46543,,,,
2.38446,99.9471,9.46543,,,,
2.39445,99.9471,9.46543,,,,
2.40433,99.9471,9.46543,,,,
2.4144,99.9442,9.46543,,,,
2.42446,99.9442,9.46543,,,,
2.43442,99.9442,9.46543,,,,
2.44437,99.9442,9.46543,,,,
2.45438,99.9442,9.46543,,,,
2.4645,99.9442,9.39472,,,,
2.47464,99.9442,9.4533,,,,
2.48435,99.9442,9.4533,,,,
2.49436,99.9442,9.4533,,,,
2.50435,99.9442,9.4533,,,,
2.51437,99.9413,9.4533,,,,
2.52435,99.9413,9.4533,,,,
2.53445,99.9413,9.4533,,,,
2.5444,99.9413,9.4533,,,,
2.55432,99.9413,9.4533,,,,
2.56436,99.9413,9.4533,,,,
2.57435,99.9413,9.4533,,,,
2.58437,99.9413,9.4533,,,,
2.59433,99.9413,9.4533,,,,
2.60431,99.9413,9.4533,,,,
2.61439,99.9385,9.4533,,,,
2.62442,99.9385,9.38259,,,,
2.63443,99.9385,9.38259,,,,
2.64438,99.9385,9.38259,,,,
