ElapsedTime(s),Battery(%),DistanceRemaining
1.07521,99.9599,0
1.08479,99.9599,0
1.09485,99.957,0
1.10483,99.957,0
1.11484,99.957,0
1.12486,99.957,0
1.13487,99.957,0
1.14487,99.957,0
1.15492,99.957,0
1.1649,99.957,0
1.1749,99.957,0
1.18488,99.957,0
1.19492,99.9541,0
1.20489,99.9541,0
1.21488,99.9541,0
1.22488,99.9541,0
1.23489,99.9541,0
1.24486,99.9541,0
1.25523,99.9541,8.50624
1.26487,99.9541,8.50624
1.27482,99.9541,8.50624
1.28487,99.9541,8.50624
1.29488,99.9513,8.50624
1.30494,99.9513,8.50624
1.31475,99.9513,8.50624
1.32486,99.9513,8.50624
1.33486,99.9513,8.50624
1.3449,99.9513,8.50624
1.3549,99.9513,8.50624
1.36486,99.9513,8.50624
1.37487,99.9513,8.50624
1.38485,99.9513,8.50624
1.39486,99.9484,8.50624
1.40491,99.9484,8.50624
1.41482,99.9484,8.50624
1.42485,99.9484,8.50624
1.43494,99.9484,8.50624
1.44489,99.9484,8.50624
1.45483,99.9484,8.50624
1.46482,99.9484,8.50624
1.47484,99.9484,8.50624
1.48488,99.9484,8.43553
1.49488,99.9455,8.43553
1.50488,99.9455,8.43553
1.5148,99.9455,8.43553
1.52481,99.9455,8.43553
1.53481,99.9455,8.43553
1.54489,99.9455,8.43553
1.55487,99.9455,8.43553
1.56492,99.9455,8.43553
1.57481,99.9455,8.43553
1.58495,99.9455,8.43553
1.5949,99.9426,8.43553
1.60493,99.9426,8.43553
1.61486,99.9426,8.43553
1.62483,99.9426,8.43553
1.63491,99.9426,8.43553
1.64486,99.9426,8.43553
1.65487,99.9426,8.43553
1.66481,99.9426,8.43553
1.67482,99.9426,8.43553
1.68485,99.9426,8.36482
1.69485,99.9398,8.36482
1.70482,99.9398,8.36482
1.71483,99.9398,8.36482
1.7249,99.9398,8.36482
1.735,99.9398,8.36482
1.74498,99.9398,8.36482
1.75496,99.9398,8.36482
1.76484,99.9398,8.36482
1.7748,99.9398,8.36482
1.78488,99.9398,8.36482
1.79484,99.9369,8.36482
1.80486,99.9369,8.36482
1.81481,99.9369,8.36482
1.82484,99.9369,8.29411
1.83492,99.9369,8.29411
1.84486,99.9369,8.29411
1.85484,99.9369,8.29411
1.86482,99.9369,8.29411
1.87481,99.9369,8.29411
1.88488,99.9369,8.29411
1.89487,99.934,8.29411
1.90487,99.934,8.29411
1.91485,99.934,8.29411
1.92493,99.934,8.29411
1.93488,99.934,8.29411
1.94487,99.934,8.29411
1.95494,99.934,8.29411
1.96482,99.934,8.29411
1.97486,99.934,8.29411
1.98487,99.934,8.2234
1.99487,99.9311,8.2234
2.00496,99.9311,8.2234
2.01485,99.9311,8.2234
2.02482,99.9311,8.2234
2.03491,99.9311,8.2234
2.04489,99.9311,8.2234
2.05488,99.9311,8.2234
2.06482,99.9311,8.2234
2.07486,99.9311,8.2234
2.08487,99.9311,8.2234
2.09492,99.9282,8.2234
2.10491,99.9282,8.2234
2.11489,99.9282,8.2234
2.12481,99.9282,8.2234
2.13488,99.9282,8.2234
2.1449,99.9282,8.15269
2.1549,99.9282,8.15269
2.16482,99.9282,8.15269
2.17486,99.9282,8.15269
2.18495,99.9282,8.15269
2.19493,99.9254,8.15269
2.20485,99.9254,8.15269
2.2148,99.9254,8.15269
2.22485,99.9254,8.15269
2.23487,99.9254,8.15269
2.24486,99.9254,8.15269
2.2549,99.9254,8.15269
2.26506,99.9254,8.15269
2.27489,99.9254,8.15269
2.28495,99.9254,8.08198
2.29494,99.9225,8.08198
2.30494,99.9225,8.08198
2.3149,99.9225,8.08198
2.32489,99.9225,8.08198
2.33493,99.9225,8.08198
2.34493,99.9225,8.08198
2.35501,99.9225,8.08198
2.36491,99.9225,8.08198
2.37491,99.9225,8.08198
2.38494,99.9225,8.08198
2.39499,99.9196,8.08198
2.40494,99.9196,8.08198
2.4151,99.9196,7.9734
2.42483,99.9196,7.9734
2.43486,99.9196,7.9734
2.44495,99.9196,7.9734
2.45494,99.9196,7.9734
2.46483,99.9196,7.90269
2.4749,99.9196,7.90269
2.48491,99.9196,7.90269
2.49479,99.9167,7.90269
2.50489,99.9167,7.90269
2.51486,99.9167,7.90269
2.52484,99.9167,7.90269
2.53488,99.9167,7.90269
2.5449,99.9167,7.90269
2.55489,99.9167,7.90269
2.5649,99.9167,7.90269
2.57485,99.9167,7.90269
2.58489,99.9167,7.90269
2.5949,99.9139,7.90269
2.60488,99.9139,7.90269
2.61484,99.9139,7.90269
2.62483,99.9139,7.83198
2.63487,99.9139,7.83198
2.64486,99.9139,7.83198
2.65489,99.9139,7.83198
2.66484,99.9139,7.83198
2.67483,99.9139,7.83198
2.68488,99.9139,7.83198
2.69484,99.911,7.83198
2.70488,99.911,7.83198
2.71489,99.911,7.83198
2.72479,99.911,7.83198
2.7349,99.911,7.83198
2.74489,99.911,7.76127
2.75489,99.911,7.76127
2.76479,99.911,7.76127
2.77483,99.911,7.76127
2.7849,99.911,7.76127
2.79489,99.9081,7.76127
2.80488,99.9081,7.76127
2.81482,99.9081,7.76127
2.82483,99.9081,7.76127
2.83487,99.9081,7.76127
2.84483,99.9081,7.76127
2.85492,99.9081,7.76127
2.86485,99.9081,7.69056
2.87483,99.9081,7.69056
2.88487,99.9081,7.69056
2.89485,99.9052,7.69056
2.90483,99.9052,7.69056
2.91477,99.9052,7.69056
2.9248,99.9052,7.69056
2.93491,99.9052,7.69056
2.94486,99.9052,7.69056
2.95489,99.9052,7.69056
2.96481,99.9052,7.69056
2.97487,99.9052,7.69056
2.98487,99.9052,7.69056
2.99487,99.9024,7.69056
3.00488,99.9024,7.61985
3.01486,99.9024,7.61985
3.02484,99.9024,7.61985
3.03492,99.9024,7.61985
3.04488,99.9024,7.61985
3.05489,99.9024,7.61985
3.06483,99.9024,7.61985
3.07474,99.9024,7.61985
3.08489,99.9024,7.61985
3.09487,99.8995,7.61985
3.10491,99.8995,7.61985
3.11486,99.8995,7.61985
3.1248,99.8995,7.61985
3.1349,99.8995,7.61985
3.14483,99.8995,7.54914
3.15483,99.8995,7.54914
3.16484,99.8995,7.54914
3.17485,99.8995,7.54914
3.1849,99.8995,7.54914
3.19488,99.8966,7.54914
3.2049,99.8966,7.54914
3.21484,99.8966,7.54914
3.22485,99.8966,7.54914
3.2349,99.8966,7.54914
3.24488,99.8966,7.54914
3.25487,99.8966,7.54914
3.26486,99.8966,7.54914
3.27484,99.8966,7.54914
3.28491,99.8966,7.47843
3.29487,99.8937,7.47843
3.30487,99.8937,7.47843
3.31486,99.8937,7.47843
3.32483,99.8937,7.47843
3.33492,99.8937,7.47843
3.3449,99.8937,7.47843
3.35488,99.8937,7.47843
3.36488,99.8937,7.47843
3.37491,99.8937,7.47843
3.38489,99.8937,7.47843
3.39487,99.8909,7.47843
3.40491,99.8909,7.47843
3.41481,99.8909,7.47843
3.42492,99.8909,7.47843
3.43491,99.8909,7.47843
3.44488,99.8909,7.45772
3.45478,99.8909,7.45772
3.46481,99.8909,7.45772
3.47487,99.8909,7.45772
3.48481,99.8909,7.45772
3.49483,99.888,7.45772
3.50489,99.888,7.45772
3.51482,99.888,7.45772
3.5248,99.888,7.45772
3.53487,99.888,7.45772
3.54489,99.888,7.38701
3.55493,99.888,7.38701
3.56483,99.888,7.38701
3.57483,99.888,7.38701
3.58485,99.888,7.38701
3.59481,99.8851,7.38701
3.60487,99.8851,7.38701
3.61484,99.8851,7.38701
3.62483,99.8851,7.38701
3.63487,99.8851,7.38701
3.64492,99.8851,7.38701
3.65486,99.8851,7.38701
3.66479,99.8851,7.38701
3.67482,99.8851,7.38701
3.68491,99.8851,7.3163
3.6949,99.8822,7.3163
3.70488,99.8822,7.3163
3.71483,99.8822,7.3163
3.72484,99.8822,7.3163
