ElapsedTime(s),Battery(%),DistanceRemaining
1.07458,99.9884,0
1.08433,99.9884,0
1.09442,99.9884,0
1.10432,99.9855,0
1.11434,99.9855,0
1.12432,99.9855,0
1.13434,99.9855,0
1.14434,99.9855,0
1.15434,99.9855,0
1.16433,99.9855,0
1.17434,99.9855,0
1.18429,99.9855,0
1.19437,99.9855,0
1.20438,99.9826,0
1.21439,99.9826,0
1.22439,99.9826,0
1.23434,99.9826,0
1.24457,99.9826,9.62757
1.25432,99.9826,9.62757
1.26438,99.9826,9.62757
1.27439,99.9826,9.62757
1.28438,99.9826,9.62757
1.29434,99.9826,9.62757
1.30431,99.9797,9.62757
1.31432,99.9797,9.62757
1.32444,99.9797,9.62757
1.33444,99.9797,9.62757
1.34434,99.9797,9.62757
1.35441,99.9797,9.62757
1.36447,99.9797,9.62757
1.3745,99.9797,9.62757
1.38439,99.9797,9.62757
1.39435,99.9797,9.62757
1.40437,99.9768,9.62757
1.41435,99.9768,9.62757
1.42454,99.9768,9.62757
1.4344,99.9768,9.62757
1.44439,99.9768,9.62757
1.45434,99.9768,9.62757
1.4644,99.9768,9.62757
1.47441,99.9768,9.62757
1.48436,99.9768,9.62757
1.49443,99.9768,9.62757
1.50437,99.974,9.62757
1.51436,99.974,9.62757
1.52438,99.974,9.62757
1.53438,99.974,9.55685
1.54439,99.974,9.55685
1.55434,99.974,9.55685
1.56434,99.974,9.55685
1.57439,99.974,9.55685
1.58442,99.974,9.55685
1.59442,99.974,9.55685
1.60433,99.9711,9.55685
1.61435,99.9711,9.55685
1.6244,99.9711,9.55685
1.63434,99.9711,9.55685
1.64437,99.9711,9.55685
1.65435,99.9711,9.55685
1.66432,99.9711,9.55685
1.67441,99.9711,9.55685
1.68438,99.9711,9.55685
1.69442,99.9711,9.55685
1.70432,99.9682,9.55685
1.71437,99.9682,9.48614
1.72438,99.9682,9.48614
1.73438,99.9682,9.48614
1.74434,99.9682,9.48614
1.75435,99.9682,9.48614
1.76429,99.9682,9.48614
1.77439,99.9682,9.48614
1.78438,99.9682,9.48614
1.7944,99.9682,9.48614
1.80433,99.9653,9.48614
1.81433,99.9653,9.48614
1.82438,99.9653,9.48614
1.83439,99.9653,9.48614
