ElapsedTime(s),Battery(%)
0.0982587,85
0.198129,85
0.298167,85
0.398138,85
0.498107,85
0.598125,85
0.698147,85
0.798128,85
0.898134,85
0.998095,85
1.09806,84.9971
1.19806,84.9943
1.29809,84.9914
1.39806,84.9885
1.49806,84.9856
1.59806,84.9827
1.6981,84.9799
1.79811,84.977
1.89809,84.9741
1.99809,84.9712
2.09808,84.9684
2.19808,84.9655
2.29808,84.9626
2.39806,84.9597
2.49809,84.9569
2.59809,84.954
2.6981,84.9511
2.79808,84.9482
2.89805,84.9454
2.99808,84.9425
3.09806,84.9396
3.19812,84.9367
3.2981,84.9339
3.39809,84.931
3.49809,84.9281
3.59809,84.9252
3.6981,84.9223
3.79805,84.9195
3.89809,84.9166
3.99811,84.9137
4.0981,84.9108
4.19808,84.908
4.29807,84.9051
4.39822,84.9022
4.49813,84.8993
4.59811,84.8965
4.69809,84.8936
4.7981,84.8907
4.89813,84.8878
4.99811,84.885
5.09809,84.8821
5.1981,84.8792
5.2981,84.8763
5.39807,84.8735
5.49807,84.8706
5.5981,84.8677
5.69811,84.8648
5.7981,84.862
5.89814,84.8591
5.9981,84.8562
6.09814,84.8533
6.19811,84.8504
6.29806,84.8476
6.39812,84.8447
6.49812,84.8418
6.5981,84.8389
6.6981,84.8361
6.7981,84.8332
6.89811,84.8303
6.99814,84.8274
7.09813,84.8246
7.19814,84.8217
7.29809,84.8188
7.39812,84.8159
7.49811,84.8131
7.59814,84.8102
7.69811,84.8073
7.79807,84.8044
7.89812,84.8016
7.99816,84.7987
8.09816,84.7958
8.19814,84.7929
8.29808,84.7901
8.39811,84.7872
8.49812,84.7843
8.5981,84.7814
8.69811,84.7786
8.79811,84.7757
8.89813,84.7728
8.99814,84.7699
9.09813,84.7671
9.19815,84.7642
9.29814,84.7613
9.39819,84.7584
9.49813,84.7555
9.59811,84.7527
9.6981,84.7498
9.79816,84.7469
9.89811,84.744
9.99814,84.7412
10.0981,84.7383
10.1982,84.7354
10.2981,84.7325
10.3982,84.7297
10.4982,84.7268
10.5982,84.7239
10.6981,84.721
10.7982,84.7182
10.8981,84.7153
10.9982,84.7124
11.0982,84.7095
11.1981,84.7067
11.2981,84.7038
11.3982,84.7009
11.4981,84.698
11.5981,84.6951
11.6982,84.6923
11.7982,84.6894
11.8982,84.6865
11.9981,84.6836
12.0981,84.6808
12.1982,84.6779
12.2981,84.675
12.3982,84.6721
12.4981,84.6693
12.5981,84.6664
12.6981,84.6635
12.7982,84.6606
12.8981,84.6578
12.9981,84.6549
13.0981,84.652
13.1982,84.6491
13.2981,84.6463
13.3982,84.6434
13.4981,84.6405
13.5982,84.6376
13.6981,84.6348
13.7982,84.6319
13.8981,84.629
13.9981,84.6261
14.0982,84.6233
14.1982,84.6204
14.2982,84.6175
14.3981,84.6146
14.4982,84.6118
14.5982,84.6089
14.6981,84.606
14.7982,84.6031
14.8981,84.6002
14.9981,84.5974
15.0982,84.5945
15.1981,84.5916
15.2982,84.5887
15.3981,84.5859
15.4981,84.583
15.5982,84.5801
15.6982,84.5772
15.7982,84.5744
15.8981,84.5715
15.9982,84.5686
16.0982,84.5657
16.1982,84.5629
16.2982,84.56
16.3981,84.5573
16.4981,84.5542
16.5981,84.5515
16.6981,84.5485
16.7981,84.5457
16.8981,84.5429
16.9981,84.54
17.0982,84.5371
17.1982,84.5342
17.2982,84.5314
17.3982,84.5285
17.4981,84.5256
17.5982,84.5227
17.6982,84.5199
17.7982,84.517
17.8982,84.5141
17.9981,84.5112
18.0981,84.5084
18.1982,84.5055
18.2982,84.5026
18.3981,84.4997
18.4982,84.4969
18.5982,84.494
18.6982,84.4911
18.7982,84.4882
18.8981,84.4853
18.9981,84.4825
19.0982,84.4796
19.1982,84.4767
19.2981,84.4738
19.3982,84.471
19.4982,84.4681
19.5982,84.4652
19.6982,84.4623
19.7982,84.4595
19.8982,84.4566
19.9982,84.4537
20.0982,84.4508
20.1982,84.448
20.2982,84.4451
20.3982,84.4422
20.4981,84.4393
20.5982,84.4365
20.6982,84.4336
20.7981,84.4307
20.8982,84.4278
20.9982,84.425
21.0982,84.4221
21.1982,84.4192
21.2982,84.4163
21.3982,84.4135
21.4982,84.4106
21.5982,84.4077
21.6982,84.4048
21.7982,84.402
21.8982,84.3991
21.9982,84.3962
22.0981,84.3933
22.1982,84.3904
22.2982,84.3876
22.3982,84.3847
22.4982,84.3818
22.5982,84.3789
22.6981,84.3761
22.7982,84.3732
22.8982,84.3703
22.9982,84.3674
23.0982,84.3646
23.1982,84.3617
23.2982,84.3588
23.3982,84.3559
23.4982,84.3531
23.5982,84.3514
23.6982,84.3547
23.7982,84.358
23.8982,84.3613
23.9982,84.3646
24.0982,84.368
24.1982,84.3713
24.2982,84.3746
24.3982,84.3779
24.4982,84.3812
24.5982,84.3845
24.6982,84.3878
24.7982,84.3911
24.8981,84.3944
24.9981,84.3977
25.0982,84.401
25.1982,84.4043
25.2982,84.4076
25.3982,84.411
25.4982,84.4143
25.5983,84.4176
25.6982,84.4209
25.7981,84.4242
25.8982,84.4275
25.9982,84.4308
26.0981,84.4341
26.1981,84.4374
26.2982,84.4407
26.3982,84.444
26.4981,84.4473
26.5982,84.4506
26.6982,84.454
26.7982,84.4573
26.8982,84.4606
26.9981,84.4639
27.0982,84.4672
27.1982,84.4705
27.2982,84.4738
27.3982,84.4771
27.4982,84.4804
27.5982,84.4837
27.6982,84.487
27.7982,84.4903
27.8982,84.4936
27.9982,84.4969
28.0982,84.5003
28.1982,84.5036
28.2982,84.5069
28.3982,84.5102
28.4981,84.5135
28.5982,84.5168
28.6982,84.5201
28.7982,84.5234
28.8982,84.5267
28.9982,84.53
29.0982,84.5333
29.1982,84.5366
29.2982,84.5399
29.3982,84.5433
29.4982,84.5466
29.5982,84.5499
29.6982,84.5532
29.7982,84.5565
29.8982,84.5598
29.9982,84.5631
30.0982,84.5664
30.1981,84.5697
30.2982,84.573
30.3982,84.5763
30.4982,84.5796
30.5982,84.5829
30.6982,84.5863
30.7982,84.5896
30.8982,84.5929
30.9982,84.5962
31.0982,84.5995
31.1982,84.6028
31.2982,84.6061
31.3982,84.6094
31.4982,84.6127
31.5982,84.616
31.6982,84.6193
31.7982,84.6226
31.8982,84.6259
31.9982,84.6292
32.0982,84.6326
32.1982,84.6359
32.2982,84.6392
32.3982,84.6425
32.4982,84.6458
32.5982,84.6491
32.6982,84.6524
32.7983,84.6557
32.8982,84.659
32.9982,84.6623
33.0982,84.6656
33.1982,84.6689
33.2982,84.6722
33.3982,84.6755
33.4982,84.6789
33.5982,84.6822
33.6982,84.6855
33.7982,84.6888
33.8982,84.6921
33.9982,84.6954
34.0982,84.6987
34.1982,84.702
34.2982,84.7053
34.3982,84.7086
34.4982,84.7119
34.5982,84.7152
34.6982,84.7185
34.7982,84.7219
34.8982,84.7252
34.9982,84.7285
35.0982,84.7318
35.1982,84.7351
35.2982,84.7384
35.3982,84.7417
35.4982,84.745
35.5982,84.7483
35.6981,84.7516
35.7981,84.7549
35.8982,84.7582
35.9982,84.7615
36.0982,84.7649
36.1982,84.7682
36.2982,84.7715
36.3982,84.7748
36.4982,84.7781
36.5982,84.7814
36.6982,84.7847
36.7983,84.788
36.8982,84.7913
36.9982,84.7946
37.0982,84.7979
37.1982,84.8012
37.2982,84.8045
37.3982,84.8079
37.4982,84.8112
37.5983,84.8145
37.6982,84.8178
37.7982,84.8211
37.8982,84.8244
37.9982,84.8277
38.0982,84.831
38.1982,84.8343
38.2982,84.8376
38.3982,84.8409
38.4982,84.8442
38.5982,84.8475
38.6982,84.8508
38.7982,84.8542
38.8982,84.8575
38.9982,84.8608
39.0982,84.8641
39.1982,84.8674
39.2983,84.8707
39.3982,84.874
39.4982,84.8773
39.5982,84.8806
39.6982,84.8839
39.7982,84.8872
39.8982,84.8905
39.9982,84.8938
40.0982,84.8972
40.1982,84.9005
40.2982,84.9038
40.3983,84.9071
40.4982,84.9104
40.5982,84.9137
40.6982,84.917
40.7982,84.9203
40.8982,84.9236
40.9982,84.9269
41.0982,84.9302
41.1982,84.9335
41.2982,84.9368
41.3982,84.9402
41.4982,84.9435
41.5982,84.9468
41.6982,84.9499
41.7982,84.9532
41.8982,84.9565
41.9982,84.9598
42.0983,84.9631
42.1982,84.9664
42.2982,84.9697
42.3982,84.9731
42.4982,84.9764
42.5982,84.9797
42.6982,84.983
42.7982,84.9863
42.8982,84.9896
42.9982,84.9929
43.0982,84.9962
43.1982,84.9995
43.2982,85.0028
43.3982,85.0061
43.4982,85.0094
43.5982,85.0128
43.6982,85.0161
43.7982,85.0194
43.8982,85.0227
43.9982,85.026
44.0982,85.0293
44.1982,85.0326
44.2982,85.0359
44.3982,85.0392
44.4982,85.0425
44.5982,85.0458
44.6982,85.0491
44.7982,85.0524
44.8982,85.0557
44.9982,85.0591
45.0982,85.0624
45.1982,85.0657
45.2982,85.069
45.3982,85.0723
45.4982,85.0756
45.5982,85.0789
45.6982,85.0822
45.7982,85.0855
45.8982,85.0888
45.9982,85.0921
46.0982,85.0954
46.1983,85.0987
46.2982,85.102
46.3982,85.1054
46.4982,85.1087
46.5982,85.112
46.6982,85.1153
46.7982,85.1186
46.8982,85.1219
46.9982,85.1252
47.0982,85.1285
47.1982,85.1318
47.2982,85.1351
47.3982,85.1384
47.4982,85.1417
47.5982,85.145
47.6982,85.1484
47.7982,85.1517
47.8982,85.155
47.9982,85.1583
48.0982,85.1616
48.1982,85.1649
48.2982,85.1682
48.3982,85.1715
48.4982,85.1748
48.5982,85.1781
48.6982,85.1814
48.7982,85.1847
48.8982,85.188
48.9982,85.1914
49.0982,85.1947
49.1982,85.198
49.2982,85.2013
49.3982,85.2046
49.4982,85.2079
49.5982,85.2112
49.6982,85.2145
49.7982,85.2178
49.8982,85.2211
49.9982,85.2244
50.0982,85.2277
50.1982,85.231
50.2982,85.2344
50.3982,85.2377
50.4982,85.241
50.5982,85.2443
50.6982,85.2476
50.7982,85.2509
50.8982,85.2542
50.9982,85.2575
51.0982,85.2608
51.1982,85.2641
51.2982,85.2674
51.3982,85.2707
51.4982,85.274
51.5982,85.2773
51.6982,85.2807
51.7982,85.284
51.8982,85.2873
51.9982,85.2906
52.0982,85.2939
52.1982,85.2972
52.2982,85.3005
52.3982,85.3038
52.4982,85.3071
52.5983,85.3104
52.6982,85.3137
52.7982,85.317
52.8982,85.3203
52.9982,85.3236
53.0982,85.327
53.1982,85.3303
53.2982,85.3336
53.3982,85.3369
53.4982,85.3402
53.5982,85.3435
53.6982,85.3468
53.7983,85.3501
53.8982,85.3534
53.9982,85.3567
54.0982,85.36
54.1982,85.3633
54.2982,85.3666
54.3982,85.37
54.4982,85.3733
