ElapsedTime(s),Battery(%)
0.0961411,100
0.196079,100
0.296086,100
0.396088,100
0.496091,100
0.596098,100
0.696074,100
0.796075,100
0.896074,100
0.996101,100
1.0961,100
1.19609,100
1.2961,100
1.3961,100
1.49611,100
1.5961,100
1.69607,99.9989
1.79606,99.996
1.89605,99.9931
1.99606,99.9902
2.09608,99.9873
2.19606,99.9845
2.29606,99.9816
2.39607,99.9787
2.49605,99.9758
2.59606,99.973
2.69607,99.9701
2.79605,99.9672
2.89606,99.9643
2.99606,99.9615
3.09607,99.9586
3.19606,99.9557
3.2961,99.9528
3.39606,99.95
3.49607,99.9471
3.59606,99.9442
3.69607,99.9413
3.79608,99.9385
3.89607,99.9356
3.99606,99.9327
4.09606,99.9298
4.19606,99.9269
4.29609,99.9241
4.39602,99.9212
4.49606,99.9183
4.59607,99.9154
4.69606,99.9126
4.79606,99.9097
4.89606,99.9068
4.99606,99.9039
5.09606,99.9011
5.19607,99.8982
5.2961,99.8953
5.39603,99.8924
5.49607,99.8896
5.59606,99.8867
5.69603,99.8838
5.79607,99.8809
5.89607,99.8781
5.99606,99.8752
6.09607,99.8723
6.19607,99.8694
6.29606,99.8666
6.39608,99.8637
6.4961,99.8608
6.59606,99.8579
6.69608,99.8551
6.79607,99.8522
6.89607,99.8493
6.99604,99.8464
7.09606,99.8436
7.19606,99.8407
7.29605,99.8378
7.39607,99.8349
7.49607,99.832
7.59606,99.8292
7.69606,99.8263
7.79606,99.8234
7.89606,99.8205
7.99605,99.8177
8.09604,99.8148
8.19608,99.8119
8.29607,99.809
8.39608,99.8062
8.49603,99.8033
8.59606,99.8004
8.69607,99.7975
8.79607,99.7947
8.89609,99.7918
8.99608,99.7889
9.09607,99.786
9.19606,99.7832
9.29603,99.7803
9.39607,99.7774
9.49608,99.7745
9.59607,99.7717
9.69606,99.7688
9.79608,99.7659
9.89607,99.763
9.99605,99.7601
10.0961,99.7573
10.1961,99.7544
10.2961,99.7515
10.3961,99.7486
10.4961,99.7458
10.5961,99.7429
10.6961,99.74
10.7961,99.7371
10.8961,99.7343
10.996,99.7314
11.0961,99.7285
11.1961,99.7256
11.2961,99.7228
11.3961,99.7199
11.4961,99.717
11.5961,99.7141
11.6961,99.7113
11.7961,99.7084
11.8961,99.7055
11.9961,99.7026
12.0961,99.6997
12.1961,99.6969
12.2961,99.694
12.3961,99.6911
12.4961,99.6882
12.5961,99.6854
12.6961,99.6825
12.7961,99.6796
12.8961,99.6767
12.9961,99.6739
13.0961,99.671
13.1961,99.6681
13.2961,99.6652
13.3961,99.6624
13.4961,99.6595
13.5961,99.6566
13.6961,99.6537
13.7961,99.6509
13.8961,99.648
13.9961,99.6451
14.0961,99.6422
14.1961,99.6394
14.296,99.6365
14.3961,99.6336
14.4961,99.6307
14.5961,99.6279
14.6961,99.625
14.7961,99.6221
14.8961,99.6192
14.9961,99.6164
15.0961,99.6135
15.1961,99.6106
15.2961,99.6077
15.3961,99.6048
15.4961,99.602
15.5961,99.5991
15.6961,99.5962
15.7961,99.5933
15.8961,99.5905
15.9961,99.5876
16.0961,99.5847
16.1961,99.5818
16.2961,99.579
16.3961,99.5761
16.4961,99.5732
16.5961,99.5703
16.6961,99.5675
16.7961,99.5646
