elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
0.0,99.95,0,10.52,5.21,98.9,100.55,9.4,19.3,1.05,2.2
0.0,99.9,0,10.86,5.32,98.85,100.55,9.1,18.9,1.05,2.15
0.0,99.85,0,11.64,5.46,98.9,100.55,8.5,18.4,0.95,2.1
0.1,99.85,0,12.37,5.65,98.95,100.6,8.0,17.8,0.9,2.05
0.1,99.8,0,13.19,5.72,98.95,100.6,7.5,17.6,0.85,2.0
0.1,99.8,0,14.14,5.75,99.0,100.55,7.0,17.5,0.8,2.0
0.1,99.75,0,15.23,5.71,99.0,100.55,6.5,17.6,0.75,2.0
0.1,99.7,0,16.79,5.65,99.05,100.5,5.9,17.8,0.65,2.0
0.1,99.7,0,18.35,5.58,99.1,100.4,5.4,18.0,0.6,2.05
0.2,99.65,0,20.22,5.48,99.1,100.35,4.9,18.3,0.55,2.1
0.2,99.65,0,22.53,5.33,99.15,100.25,4.4,18.8,0.5,2.15
0.2,99.6,0,25.42,5.16,99.15,100.15,3.9,19.4,0.45,2.2
0.2,99.55,0,29.18,5.06,99.2,100.1,3.4,19.8,0.4,2.25
0.2,99.55,0,34.21,4.9,99.2,100.0,2.9,20.4,0.35,2.3
0.3,99.5,0,41.35,4.78,99.25,99.9,2.4,20.9,0.25,2.35
0.3,99.5,0,52.24,4.67,99.25,99.85,1.9,21.4,0.2,2.45
0.3,99.45,0,70.93,4.55,99.3,99.75,1.4,21.9,0.15,2.5
0.3,99.4,0,110.39,4.45,99.35,99.65,0.9,22.4,0.1,2.55
0.3,99.4,1,331.16,4.35,99.35,99.55,0.3,22.9,0.05,2.6
0.3,99.35,1,496.75,4.33,99.35,99.5,0.2,23.0,0.0,2.6
0.4,99.35,1,10.57,5.21,98.3,99.95,9.3,19.2,1.05,2.2
0.4,99.3,1,10.68,5.2,98.25,99.9,9.2,19.2,1.05,2.2
0.4,99.3,1,11.3,5.31,98.3,99.9,8.7,18.8,1.0,2.15
0.4,99.25,1,11.99,5.43,98.3,99.95,8.2,18.4,0.95,2.1
0.4,99.2,1,12.77,5.49,98.35,99.9,7.7,18.2,0.85,2.05
0.4,99.2,1,13.85,5.55,98.35,99.9,7.1,18.0,0.8,2.05
0.5,99.15,1,14.69,5.58,98.4,99.9,6.7,17.9,0.75,2.05
0.5,99.15,1,16.14,5.61,98.45,99.9,6.1,17.8,0.7,2.05
0.5,99.1,1,17.58,5.58,98.45,99.85,5.6,17.9,0.65,2.05
0.5,99.05,1,19.31,5.48,98.5,99.8,5.1,18.2,0.6,2.05
0.5,99.05,1,20.96,5.36,98.5,99.7,4.7,18.6,0.55,2.1
0.5,99.0,1,24.04,5.19,98.55,99.6,4.1,19.2,0.45,2.2
0.6,98.95,1,27.37,5.05,98.55,99.5,3.6,19.7,0.4,2.25
0.6,98.95,1,31.81,4.92,98.6,99.4,3.1,20.2,0.35,2.3
0.6,98.9,1,37.92,4.8,98.6,99.35,2.6,20.7,0.3,2.35
0.6,98.9,1,46.98,4.68,98.65,99.25,2.1,21.2,0.25,2.4
0.6,98.85,1,61.66,4.57,98.65,99.15,1.6,21.7,0.2,2.45
0.6,98.85,1,98.7,4.44,98.7,99.05,1.0,22.3,0.1,2.55
0.7,98.8,2,197.5,4.34,98.75,98.95,0.5,22.8,0.05,2.6
0.7,98.75,2,246.75,4.28,98.7,98.9,0.4,23.1,0.05,2.65
0.7,98.75,2,10.62,5.2,97.7,99.35,9.2,19.1,1.05,2.2
0.7,98.7,2,10.61,5.17,97.65,99.3,9.2,19.2,1.05,2.2
0.7,98.65,2,11.23,5.31,97.7,99.3,8.7,18.7,1.0,2.15
0.8,98.65,2,11.91,5.43,97.7,99.35,8.2,18.3,0.95,2.1
0.8,98.6,2,12.69,5.52,97.75,99.35,7.7,18.0,0.85,2.05
0.8,98.6,2,13.58,5.58,97.75,99.35,7.2,17.8,0.8,2.0
0.8,98.55,2,14.82,5.64,97.8,99.3,6.6,17.6,0.75,2.0
0.8,98.5,2,16.04,5.61,97.85,99.3,6.1,17.7,0.7,2.0
0.8,98.5,2,17.47,5.54,97.85,99.25,5.6,17.9,0.65,2.05
0.9,98.45,2,18.82,5.48,97.85,99.2,5.2,18.1,0.6,2.05
0.9,98.45,2,20.83,5.33,97.9,99.1,4.7,18.6,0.55,2.1
0.9,98.4,2,23.32,5.18,97.95,99.0,4.2,19.1,0.5,2.15
0.9,98.35,2,26.47,5.07,97.95,98.95,3.7,19.5,0.4,2.25
0.9,98.35,2,30.62,4.94,98.0,98.85,3.2,20.0,0.35,2.3
0.9,98.3,2,36.3,4.79,98.0,98.75,2.7,20.6,0.3,2.35
1.0,98.3,2,44.57,4.68,98.05,98.65,2.2,21.1,0.25,2.4
1.0,98.25,2,61.28,4.56,98.05,98.55,1.6,21.6,0.2,2.45
1.0,98.2,2,89.18,4.46,98.1,98.5,1.1,22.1,0.15,2.5
1.0,98.2,2,163.5,4.35,98.1,98.4,0.6,22.6,0.05,2.6
1.0,98.15,3,490.74,4.27,98.15,98.3,0.2,23.0,0.05,2.6
1.0,98.15,3,490.49,4.26,98.1,98.3,0.2,23.1,0.0,2.65
1.1,98.1,3,10.44,5.14,97.05,98.7,9.3,19.2,1.05,2.2
1.1,98.1,3,10.55,5.14,97.05,98.7,9.2,19.2,1.05,2.2
1.1,98.05,3,11.15,5.22,97.05,98.7,8.7,18.9,1.0,2.15
1.1,98.05,3,11.7,5.36,97.1,98.7,8.3,18.4,0.95,2.1
1.1,98.0,3,12.61,5.45,97.1,98.7,7.7,18.1,0.9,2.05
1.1,97.95,3,13.49,5.48,97.15,98.7,7.2,18.0,0.8,2.05
1.2,97.95,3,14.51,5.58,97.2,98.7,6.7,17.7,0.75,2.0
1.2,97.9,3,15.68,5.57,97.2,98.65,6.2,17.7,0.7,2.0
1.2,97.9,3,17.06,5.51,97.25,98.65,5.7,17.9,0.65,2.05
1.2,97.85,3,18.7,5.44,97.25,98.55,5.2,18.1,0.6,2.05
1.2,97.8,3,20.7,5.3,97.3,98.5,4.7,18.6,0.55,2.1
1.2,97.8,3,23.17,5.15,97.3,98.4,4.2,19.1,0.45,2.2
1.3,97.75,3,26.31,5.02,97.35,98.3,3.7,19.6,0.4,2.25
1.3,97.75,3,30.42,4.89,97.35,98.2,3.2,20.1,0.35,2.3
1.3,97.7,3,36.07,4.76,97.4,98.15,2.7,20.6,0.3,2.35
1.3,97.65,3,46.4,4.65,97.45,98.05,2.1,21.1,0.25,2.4
1.3,97.65,3,60.9,4.51,97.45,97.95,1.6,21.7,0.2,2.45
1.4,97.6,3,88.63,4.41,97.5,97.85,1.1,22.2,0.1,2.55
1.4,97.6,4,194.99,4.29,97.5,97.75,0.5,22.8,0.05,2.6
1.4,97.55,4,324.99,4.25,97.5,97.7,0.3,23.0,0.05,2.6
1.4,97.5,4,10.48,5.14,96.45,98.1,9.2,19.1,1.05,2.15
1.4,97.5,4,10.6,5.14,96.45,98.1,9.1,19.1,1.05,2.15
1.4,97.45,4,11.21,5.25,96.45,98.1,8.6,18.7,1.0,2.15
1.5,97.45,4,11.77,5.39,96.5,98.15,8.2,18.2,0.95,2.1
1.5,97.4,4,12.53,5.45,96.5,98.15,7.7,18.0,0.9,2.05
1.5,97.35,4,13.41,5.51,96.55,98.1,7.2,17.8,0.8,2.0
1.5,97.35,4,14.42,5.57,96.6,98.1,6.7,17.6,0.75,2.0
1.5,97.3,4,15.58,5.54,96.6,98.05,6.2,17.7,0.7,2.0
1.5,97.3,4,17.26,5.47,96.65,98.0,5.6,17.9,0.65,2.05
1.6,97.25,4,18.59,5.41,96.65,97.95,5.2,18.1,0.6,2.05
