elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
0,99.8,0,11.6,5.5,98.9,100.6,8.5,18.4,1,2.1
0.4,99.3,1,11.3,5.31,98.3,99.9,8.7,18.8,1,2.15
0.7,98.65,2,11.23,5.31,97.7,99.3,8.7,18.7,1,2.15
1.1,98.05,3,11.15,5.22,97.05,98.7,8.7,18.9,1,2.15
1.4,97.45,4,11.21,5.25,96.45,98.1,8.6,18.7,1,2.15
1.8,96.85,5,11.14,5.19,95.85,97.5,8.6,18.8,1,2.15
2.1,96.25,6,11.08,5.21,95.25,96.9,8.6,18.6,0.95,2.1
2.5,95.65,7,10.88,5.09,94.64,96.25,8.7,18.9,1,2.15
2.8,95.05,8,10.94,5.14,94.04,95.7,8.6,18.6,1,2.1
3.2,94.44,9,10.87,5.06,93.44,95.1,8.6,18.8,1,2.15
3.5,93.84,10,10.8,5.08,92.84,94.49,8.6,18.6,1,2.1
3.9,93.24,11,10.6,5.02,92.24,93.89,8.7,18.7,1,2.15
4.2,92.64,12,10.66,4.99,91.64,93.24,8.6,18.7,1,2.15
4.6,91.99,13,10.46,4.93,91.04,92.64,8.7,18.8,1,2.15
5,91.39,14,10.39,4.92,90.39,92.04,8.7,18.7,1,2.15
5.3,90.79,15,10.44,4.89,89.79,91.44,8.6,18.7,1,2.15
5.7,90.19,16,10.37,4.86,89.19,90.84,8.6,18.7,1,2.15
6,89.59,17,10.18,4.8,88.59,90.24,8.7,18.8,1,2.15
6.4,88.99,18,10.23,4.79,87.99,89.64,8.6,18.7,1,2.15
6.7,88.39,19,10.16,4.74,87.39,89.04,8.6,18.8,1,2.15
7.1,87.79,20,10.09,4.73,86.79,88.44,8.6,18.7,1,2.15
7.4,87.14,21,9.91,4.67,86.19,87.79,8.7,18.8,1,2.15
7.8,86.54,22,9.95,4.66,85.59,87.19,8.6,18.7,1,2.15
8.1,85.94,23,9.88,4.63,84.98,86.59,8.6,18.7,1,2.15
8.5,85.34,24,9.7,4.6,84.38,85.99,8.7,18.7,1,2.15
8.8,84.73,25,9.62,4.54,83.73,85.39,8.7,18.8,1,2.15
9.2,84.13,26,9.67,4.53,83.18,84.78,8.6,18.7,1,2.15
9.5,83.53,27,9.6,4.5,82.58,84.18,8.6,18.7,1,2.15
9.9,82.93,28,9.42,4.47,81.93,83.58,8.7,18.7,1,2.15
10.2,82.33,29,9.35,4.41,81.33,82.98,8.7,18.8,1,2.15
10.6,81.73,30,9.39,4.41,80.73,82.38,8.6,18.7,1,2.15
