elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
0,19.97,0,2.11,1.04,19.76,20.09,9.4,19.3,0.21,0.44
0,19.96,0,2.18,1.06,19.75,20.09,9.1,18.9,0.21,0.43
0,19.95,0,2.31,1.09,19.76,20.09,8.5,18.4,0.19,0.42
0.1,19.95,0,2.46,1.13,19.77,20.1,8,17.8,0.18,0.41
0.1,19.94,0,2.64,1.14,19.77,20.1,7.5,17.6,0.17,0.4
0.1,19.94,0,2.84,1.15,19.78,20.09,7,17.5,0.16,0.4
0.1,19.93,0,3.06,1.14,19.78,20.09,6.5,17.6,0.15,0.4
0.1,19.92,0,3.34,1.13,19.79,20.08,5.9,17.8,0.13,0.4
0.1,19.92,0,3.67,1.11,19.8,20.06,5.4,18,0.12,0.41
0.2,19.91,0,4.04,1.09,19.8,20.05,4.9,18.3,0.11,0.42
0.2,19.91,0,4.47,1.07,19.81,20.03,4.4,18.8,0.1,0.43
0.2,19.9,0,5.13,1.03,19.81,20.01,3.9,19.4,0.09,0.44
0.2,19.89,0,5.79,1.01,19.82,20,3.4,19.8,0.08,0.45
0.2,19.89,0,6.88,0.98,19.82,19.98,2.9,20.4,0.07,0.46
0.3,19.88,0,8.3,0.96,19.83,19.96,2.4,20.9,0.05,0.47
0.3,19.88,0,10.49,0.93,19.83,19.95,1.9,21.4,0.04,0.49
0.3,19.87,0,14.7,0.91,19.84,19.93,1.4,21.9,0.03,0.5
0.3,19.86,0,23.35,0.89,19.85,19.91,0.9,22.4,0.02,0.51
0.3,19.86,1,66.17,0.87,19.85,19.89,0.3,22.9,0.01,0.52
0.3,19.85,1,99.24,0.86,19.85,19.88,0.2,23,0,0.52
0.4,19.85,1,2.12,1.04,19.64,19.97,9.3,19.2,0.21,0.44
0.4,19.84,1,2.14,1.04,19.63,19.96,9.2,19.2,0.21,0.44
0.4,19.84,1,2.26,1.06,19.64,19.96,8.7,18.8,0.2,0.43
0.4,19.83,1,2.4,1.09,19.64,19.97,8.2,18.4,0.19,0.42
0.4,19.82,1,2.56,1.1,19.65,19.96,7.7,18.2,0.17,0.41
0.4,19.82,1,2.75,1.11,19.65,19.96,7.1,18,0.16,0.41
0.5,19.81,1,2.95,1.12,19.66,19.96,6.7,17.9,0.15,0.41
0.5,19.81,1,3.21,1.12,19.67,19.96,6.1,17.8,0.14,0.41
0.5,19.8,1,3.51,1.11,19.67,19.95,5.6,17.9,0.13,0.41
0.5,19.79,1,3.84,1.1,19.68,19.94,5.1,18.2,0.12,0.41
0.5,19.79,1,4.21,1.07,19.68,19.92,4.7,18.6,0.11,0.42
0.5,19.78,1,4.83,1.04,19.69,19.9,4.1,19.2,0.09,0.44
0.6,19.77,1,5.49,1.01,19.69,19.88,3.6,19.7,0.08,0.45
0.6,19.77,1,6.35,0.98,19.7,19.86,3.1,20.2,0.07,0.46
