elapsed time [min],battery [Wh],task [times]
0,19.97,0
0.0,19.96,0
0.0,19.96,0
0.1,19.95,0
0.1,19.95,0
0.1,19.94,0
0.1,19.93,0
0.1,19.93,0
0.1,19.92,0
0.2,19.92,0
0.2,19.91,0
0.2,19.90,0
0.2,19.90,0
0.2,19.89,0
0.2,19.89,0
0.3,19.88,0
0.3,19.87,0
0.3,19.87,0
0.3,19.86,0
0.3,19.86,1
0.3,19.85,1
0.4,19.85,1
0.4,19.84,1
0.4,19.83,1
0.4,19.83,1
0.4,19.82,1
0.4,19.82,1
0.5,19.81,1
0.5,19.81,1
0.5,19.80,1
0.5,19.79,1
0.5,19.79,1
0.5,19.78,1
0.6,19.78,1
0.6,19.77,1
0.6,19.76,1
0.6,19.76,1
0.6,19.75,1
0.7,19.75,1
0.7,19.74,1
0.7,19.73,2
0.7,19.73,2
0.7,19.72,2
0.7,19.72,2
0.8,19.71,2
0.8,19.71,2
0.8,19.70,2
0.8,19.69,2
0.8,19.69,2
0.8,19.68,2
0.9,19.68,2
0.9,19.67,2
0.9,19.66,2
0.9,19.66,2
0.9,19.65,2
0.9,19.65,2
1.0,19.64,2
1.0,19.63,2
1.0,19.63,2
1.0,19.62,2
1.0,19.62,2
1.0,19.61,3
1.1,19.60,3
1.1,19.60,3
1.1,19.59,3
1.1,19.59,3
1.1,19.58,3
1.1,19.58,3
1.2,19.57,3
1.2,19.56,3
1.2,19.56,3
1.2,19.55,3
1.2,19.55,3
1.2,19.54,3
1.3,19.53,3
1.3,19.53,3
1.3,19.52,3
1.3,19.52,3
1.3,19.51,3
1.4,19.50,3
1.4,19.50,3
1.4,19.49,3
1.4,19.49,3
1.4,19.48,4
1.4,19.47,4
1.5,19.47,4
1.5,19.46,4
1.5,19.46,4
1.5,19.45,4
1.5,19.44,4
1.5,19.44,4
1.6,19.43,4
1.6,19.43,4
1.6,19.42,4
1.6,19.41,4
1.6,19.41,4
1.6,19.40,4
1.7,19.40,4
1.7,19.39,4
1.7,19.39,4
1.7,19.38,4
1.7,19.37,4
1.7,19.37,4
1.8,19.36,4
1.8,19.36,5
1.8,19.35,5
1.8,19.34,5
1.8,19.34,5
1.9,19.33,5
1.9,19.32,5
1.9,19.32,5
1.9,19.31,5
1.9,19.31,5
1.9,19.30,5
2.0,19.29,5
2.0,19.29,5
2.0,19.28,5
2.0,19.28,5
2.0,19.27,5
2.0,19.26,5
2.1,19.26,5
2.1,19.25,5
2.1,19.25,5
2.1,19.24,5
2.1,19.24,5
2.1,19.23,6
2.2,19.22,6
2.2,19.22,6
2.2,19.21,6
2.2,19.20,6
2.2,19.20,6
2.3,19.19,6
2.3,19.19,6
2.3,19.18,6
2.3,19.18,6
2.3,19.17,6
2.3,19.16,6
2.4,19.16,6
2.4,19.15,6
2.4,19.15,6
2.4,19.14,6
2.4,19.13,6
2.4,19.13,6
2.5,19.12,6
2.5,19.12,6
2.5,19.11,6
2.5,19.10,7
2.5,19.10,7
2.5,19.09,7
2.6,19.09,7
2.6,19.08,7
2.6,19.07,7
2.6,19.07,7
2.6,19.06,7
2.7,19.06,7
2.7,19.05,7
2.7,19.04,7
2.7,19.04,7
2.7,19.03,7
2.7,19.03,7
2.8,19.02,7
2.8,19.01,7
2.8,19.01,7
2.8,19.00,7
2.8,19.00,7
2.8,18.99,7
2.9,18.98,8
2.9,18.98,8
2.9,18.98,8
2.9,18.97,8
2.9,18.96,8
2.9,18.96,8
3.0,18.95,8
3.0,18.94,8
3.0,18.94,8
3.0,18.93,8
3.0,18.93,8
3.0,18.92,8
3.1,18.91,8
3.1,18.91,8
3.1,18.90,8
3.1,18.90,8
3.1,18.89,8
3.1,18.88,8
3.2,18.88,8
3.2,18.87,8
3.2,18.87,8
3.2,18.86,8
3.2,18.86,9
3.3,18.85,9
3.3,18.85,9
3.3,18.84,9
3.3,18.83,9
3.3,18.83,9
3.3,18.82,9
3.3,18.82,9
3.4,18.81,9
3.4,18.80,9
3.4,18.80,9
3.4,18.79,9
3.4,18.79,9
3.5,18.78,9
3.5,18.77,9
3.5,18.77,9
3.5,18.76,9
3.5,18.76,9
3.5,18.75,9
3.6,18.74,9
3.6,18.74,9
3.6,18.73,9
3.6,18.73,10
3.6,18.72,10
3.6,18.72,10
3.6,18.71,10
3.7,18.71,10
3.7,18.70,10
3.7,18.70,10
3.7,18.69,10
3.7,18.68,10
3.8,18.68,10
3.8,18.67,10
3.8,18.67,10
3.8,18.66,10
3.8,18.65,10
3.8,18.65,10
3.9,18.64,10
3.9,18.64,10
3.9,18.63,10
3.9,18.62,10
3.9,18.62,10
3.9,18.61,10
4.0,18.61,10
4.0,18.60,11
4.0,18.60,11
4.0,18.59,11
4.0,18.58,11
4.0,18.58,11
4.1,18.57,11
4.1,18.56,11
4.1,18.56,11
4.1,18.55,11
4.1,18.55,11
4.1,18.54,11
4.2,18.53,11
4.2,18.53,11
4.2,18.52,11
4.2,18.52,11
4.2,18.51,11
4.2,18.51,11
4.3,18.50,11
4.3,18.49,11
4.3,18.49,11
4.3,18.48,11
4.3,18.48,12
4.4,18.47,12
4.4,18.47,12
4.4,18.46,12
4.4,18.46,12
4.4,18.45,12
4.4,18.44,12
4.4,18.44,12
4.5,18.43,12
4.5,18.43,12
4.5,18.42,12
4.5,18.41,12
4.5,18.41,12
4.5,18.40,12
4.6,18.40,12
4.6,18.39,12
4.6,18.38,12
4.6,18.38,12
4.6,18.37,12
4.7,18.37,12
4.7,18.36,12
4.7,18.36,12
4.7,18.35,13
4.7,18.34,13
4.7,18.34,13
4.8,18.33,13
4.8,18.33,13
4.8,18.32,13
4.8,18.31,13
4.8,18.31,13
4.8,18.30,13
4.9,18.30,13
4.9,18.29,13
4.9,18.28,13
4.9,18.28,13
4.9,18.27,13
4.9,18.27,13
5.0,18.26,13
5.0,18.26,13
5.0,18.25,13
5.0,18.24,13
5.0,18.24,13
5.0,18.23,13
5.1,18.23,14
5.1,18.22,14
5.1,18.21,14
5.1,18.21,14
5.1,18.20,14
5.2,18.19,14
5.2,18.19,14
5.2,18.18,14
5.2,18.18,14
5.2,18.17,14
5.2,18.17,14
5.3,18.16,14
5.3,18.15,14
5.3,18.15,14
5.3,18.14,14
5.3,18.14,14
5.3,18.13,14
5.4,18.12,14
5.4,18.12,14
5.4,18.11,14
5.4,18.11,15
5.4,18.10,15
5.4,18.10,15
5.5,18.09,15
5.5,18.08,15
5.5,18.08,15
5.5,18.07,15
5.5,18.06,15
5.5,18.06,15
5.6,18.05,15
5.6,18.05,15
5.6,18.04,15
5.6,18.03,15
5.6,18.03,15
5.6,18.02,15
5.7,18.02,15
5.7,18.01,15
5.7,18.00,15
5.7,18.00,15
5.7,17.99,15
5.8,17.99,15
5.8,17.98,15
5.8,17.98,16
5.8,17.97,16
5.8,17.96,16
5.8,17.96,16
5.9,17.95,16
5.9,17.94,16
5.9,17.94,16
5.9,17.93,16
5.9,17.93,16
5.9,17.92,16
6.0,17.91,16
6.0,17.91,16
6.0,17.90,16
6.0,17.90,16
6.0,17.89,16
6.1,17.88,16
6.1,17.88,16
6.1,17.87,16
6.1,17.87,16
6.1,17.86,16
6.1,17.85,17
6.2,17.85,17
6.2,17.84,17
6.2,17.84,17
